strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,0.0201,NaN,0,0,0.1368,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,15,-0.0026,0.846924,0,0,-0.0008,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,-0.0126,0.625,0,0,-0.0176,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,10,0.3877,0.556641,0,0,0.1791,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,0.0062,1.0,0,0,0.0105,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,1.4852,NaN,0,0,5.0568,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,2.4116,NaN,0,0,1.2736,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,20,0.0145,0.756166,0,0,0.0035,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,5,0.0419,0.0625,0,0,0.0309,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,4.0045,NaN,0,0,2.3863,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,15,0.3464,0.025574,1,0,0.5874,medium
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,10,0.6896,0.001953,1,1,1.2629,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,20,0.6666,2.7e-05,1,1,0.7346,medium
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,5,0.2076,0.3125,0,0,0.2765,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,15,0.6823,6.1e-05,1,1,8.6324,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,0.9967,0.0625,0,0,20.5627,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,10,0.978,0.001953,1,1,8.9273,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,1.0597,0.25,0,0,16.0347,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,1.0912,NaN,0,0,96.328,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,1.0537,NaN,0,0,34.4291,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,20,0.504,2e-06,1,1,4.1222,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,5,0.9745,0.0625,0,0,15.4099,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,1.0927,NaN,0,0,21.6309,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,15,0.0368,0.359131,0,0,0.1177,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,10,-0.0222,1.0,0,0,-0.0752,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,20,-0.0376,0.294252,0,0,-0.0933,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,15,0.0605,0.678772,0,0,0.0466,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,-0.0026,0.8125,0,0,-0.0053,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,10,0.0013,1.0,0,0,0.0012,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,-0.0004,1.0,0,0,-0.001,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,0.005,NaN,0,0,0.1856,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,0.0051,NaN,0,0,0.0279,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,20,-0.0504,0.498009,0,0,-0.0269,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,5,0.002,1.0,0,0,0.0045,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,-0.0012,NaN,0,0,-0.0082,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,15,0.0835,0.678772,0,0,0.0254,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,3.7683,0.125,0,0,1.8771,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,10,1.6206,0.232422,0,0,0.5302,medium
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,8.0405,0.25,0,0,1.5261,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,8.0183,NaN,0,0,22.1241,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,13.578,NaN,0,0,7.4991,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,20,-0.0089,0.294252,0,0,-0.0022,small
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,5,2.0513,0.1875,0,0,0.8716,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,16.0541,NaN,0,0,14.1067,large
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,15,1.1852,0.000305,1,1,0.8307,large
