strategy,func,algo,spearman_rho,spearman_p,correlation,significant,n_dims,fopt_50D,fopt_maxD
sobol,Rosenbrock,GA,1.0,0.0,increasing,1,9,26248513.5119487,863871393.4097356
sobol,Rosenbrock,PSO,1.0,0.0,increasing,1,9,30841751.25,2607259441.5
sobol,Griewank,SMCO,1.0,0.0,increasing,1,3,4400.89200506,17226.59242376
sobol,Griewank,SMCO_R,1.0,0.0,increasing,1,3,4332.10767341,16732.05754061
sobol,Griewank,SMCO_BR,1.0,0.0,increasing,1,3,4161.670566,15582.82164854
sobol,Griewank,SMCO_EVO,1.0,0.0,increasing,1,3,4400.68998186,17224.01728074
sobol,Griewank,SMCO_R_EVO,1.0,0.0,increasing,1,3,4331.92694218,16725.69645681
sobol,Griewank,SMCO_BR_EVO,1.0,0.0,increasing,1,3,4161.41926806,15580.61859943
sobol,Griewank,GenSA,1.0,0.0,increasing,1,3,4501.0,18001.0
sobol,Griewank,SA,1.0,0.0,increasing,1,3,4501.0,18001.0
sobol,Griewank,DEoptim,1.0,0.0,increasing,1,3,2632.15324533,7992.15823964
sobol,Griewank,GA,1.0,0.0,increasing,1,3,4252.25924766,13845.08661474
sobol,Griewank,PSO,1.0,0.0,increasing,1,3,4501.0,18001.0
sobol,Zakharov,SMCO,1.0,0.0,increasing,1,4,1544460382804846.5,1.2530257290868337e+23
sobol,Zakharov,SMCO_R,1.0,0.0,increasing,1,4,1472185536847872.8,1.0966824087560668e+23
sobol,Zakharov,SMCO_BR,1.0,0.0,increasing,1,4,1302651618260598.5,7.947977905345289e+22
sobol,Zakharov,SMCO_EVO,1.0,0.0,increasing,1,4,1542792371747628.0,1.252906110152591e+23
sobol,Zakharov,SMCO_R_EVO,1.0,0.0,increasing,1,4,1472665333633579.2,1.0970032264928557e+23
sobol,Zakharov,SMCO_BR_EVO,1.0,0.0,increasing,1,4,1302917253201241.0,7.951359634206635e+22
sobol,Zakharov,GenSA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
sobol,Zakharov,SA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
sobol,Zakharov,DEoptim,1.0,0.0,increasing,1,4,1104786159318461.4,1.2943695526983188e+22
sobol,Zakharov,GA,1.0,0.0,increasing,1,4,1512953031732195.5,6.343866956064009e+22
sobol,Zakharov,PSO,1.0,0.0,increasing,1,4,853915058111520.0,1.2531567661324549e+22
