evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_R_EVO,Rosenbrock,2000,best1bin,794743124.1546808,1
SMCO_R_EVO,Rosenbrock,2000,rand1bin,781450086.1351376,2
SMCO_R_EVO,Rosenbrock,2000,sobol,776076535.7725594,3
SMCO_R_EVO,Rosenbrock,2000,current-to-best1bin,775870948.4175621,4
SMCO_R_EVO,Rosenbrock,3000,best1bin,1135294516.5534573,1
SMCO_R_EVO,Rosenbrock,3000,current-to-best1bin,1110555709.568077,2
SMCO_R_EVO,Rosenbrock,3000,rand1bin,1096805777.1641424,3
SMCO_R_EVO,Rosenbrock,3000,sobol,1094196173.155689,4
SMCO_R_EVO,Rosenbrock,4000,rand1bin,1458666064.155912,1
SMCO_R_EVO,Rosenbrock,4000,best1bin,1449626148.1335459,2
SMCO_R_EVO,Rosenbrock,4000,current-to-best1bin,1433132239.4677372,3
SMCO_R_EVO,Rosenbrock,4000,sobol,1399514464.6951823,4
SMCO_R_EVO,Rosenbrock,5000,best1bin,1768504356.366383,1
SMCO_R_EVO,Rosenbrock,5000,current-to-best1bin,1767633840.916448,2
SMCO_R_EVO,Rosenbrock,5000,rand1bin,1763579913.2363734,3
SMCO_R_EVO,Rosenbrock,5000,sobol,1699732400.7509956,4
SMCO_R_EVO,Griewank,50,sobol,4331.92694218,1
SMCO_R_EVO,Griewank,50,rand1bin,4331.19851129,2
SMCO_R_EVO,Griewank,50,best1bin,4331.01526578,3
SMCO_R_EVO,Griewank,50,current-to-best1bin,4330.99675258,4
SMCO_R_EVO,Griewank,100,sobol,8568.88278304,1
SMCO_R_EVO,Griewank,100,rand1bin,8568.8413522,2
SMCO_R_EVO,Griewank,100,current-to-best1bin,8568.60215548,3
SMCO_R_EVO,Griewank,100,best1bin,8568.60215548,4
SMCO_R_EVO,Griewank,200,sobol,16725.69645681,1
SMCO_R_EVO,Griewank,200,current-to-best1bin,16723.82607777,2
SMCO_R_EVO,Griewank,200,best1bin,16723.82607777,3
SMCO_R_EVO,Griewank,200,rand1bin,16723.67049014,4
SMCO_R_EVO,Zakharov,50,current-to-best1bin,1481998819953021.5,1
SMCO_R_EVO,Zakharov,50,best1bin,1481389278501526.8,2
SMCO_R_EVO,Zakharov,50,rand1bin,1479474019474247.8,3
SMCO_R_EVO,Zakharov,50,sobol,1472665333633579.2,4
SMCO_R_EVO,Zakharov,100,best1bin,3.526370052594049e+17,1
SMCO_R_EVO,Zakharov,100,current-to-best1bin,3.519512055367801e+17,2
SMCO_R_EVO,Zakharov,100,rand1bin,3.518469888496277e+17,3
SMCO_R_EVO,Zakharov,100,sobol,3.5052787329684006e+17,4
SMCO_R_EVO,Zakharov,200,current-to-best1bin,8.182450588926935e+19,1
SMCO_R_EVO,Zakharov,200,best1bin,8.181832060656185e+19,2
SMCO_R_EVO,Zakharov,200,rand1bin,8.148645008091346e+19,3
SMCO_R_EVO,Zakharov,200,sobol,8.123722670750595e+19,4
SMCO_R_EVO,Zakharov,500,rand1bin,1.1005364578881726e+23,1
SMCO_R_EVO,Zakharov,500,best1bin,1.0992078040645922e+23,2
SMCO_R_EVO,Zakharov,500,current-to-best1bin,1.098959045083418e+23,3
SMCO_R_EVO,Zakharov,500,sobol,1.0970032264928557e+23,4
SMCO_BR_EVO,Rastrigin,50,sobol,1713.22486886,1
SMCO_BR_EVO,Rastrigin,50,best1bin,1713.20146775,2
SMCO_BR_EVO,Rastrigin,50,rand1bin,1713.14177105,3
SMCO_BR_EVO,Rastrigin,50,current-to-best1bin,1712.82565972,4
SMCO_BR_EVO,Rastrigin,100,rand1bin,3261.50566115,1
SMCO_BR_EVO,Rastrigin,100,current-to-best1bin,3261.28389114,2
SMCO_BR_EVO,Rastrigin,100,best1bin,3261.28389114,3
SMCO_BR_EVO,Rastrigin,100,sobol,3260.92973721,4
SMCO_BR_EVO,Rastrigin,200,rand1bin,6337.26304679,1
SMCO_BR_EVO,Rastrigin,200,sobol,6337.23531143,2
SMCO_BR_EVO,Rastrigin,200,current-to-best1bin,6336.71142179,3
SMCO_BR_EVO,Rastrigin,200,best1bin,6336.71142179,4
SMCO_BR_EVO,Rastrigin,500,current-to-best1bin,14784.72336393,1
SMCO_BR_EVO,Rastrigin,500,best1bin,14784.72336393,2
SMCO_BR_EVO,Rastrigin,500,rand1bin,14784.19551548,3
SMCO_BR_EVO,Rastrigin,500,sobol,14783.66139471,4
SMCO_BR_EVO,Rastrigin,1000,sobol,29126.72181404,1
SMCO_BR_EVO,Rastrigin,1000,rand1bin,29126.29918232,2
SMCO_BR_EVO,Rastrigin,1000,current-to-best1bin,29125.55358528,3
SMCO_BR_EVO,Rastrigin,1000,best1bin,29125.55358528,4
SMCO_BR_EVO,Rastrigin,2000,rand1bin,57914.65963311,1
SMCO_BR_EVO,Rastrigin,2000,sobol,57912.08818198,2
SMCO_BR_EVO,Rastrigin,2000,current-to-best1bin,57911.57064659,3
SMCO_BR_EVO,Rastrigin,2000,best1bin,57911.57064659,4
SMCO_BR_EVO,Rastrigin,3000,current-to-best1bin,86031.64588794,1
SMCO_BR_EVO,Rastrigin,3000,best1bin,86031.64588794,2
SMCO_BR_EVO,Rastrigin,3000,rand1bin,86030.44584423,3
SMCO_BR_EVO,Rastrigin,3000,sobol,86022.92131762,4
SMCO_BR_EVO,Rastrigin,4000,current-to-best1bin,114319.86604742,1
SMCO_BR_EVO,Rastrigin,4000,best1bin,114319.86604742,2
SMCO_BR_EVO,Rastrigin,4000,sobol,114318.86136905,3
SMCO_BR_EVO,Rastrigin,4000,rand1bin,114315.02117796,4
SMCO_BR_EVO,Rastrigin,5000,sobol,142460.96411805,1
SMCO_BR_EVO,Rastrigin,5000,rand1bin,142458.56569411,2
SMCO_BR_EVO,Rastrigin,5000,current-to-best1bin,142458.48954384,3
SMCO_BR_EVO,Rastrigin,5000,best1bin,142458.48954384,4
SMCO_BR_EVO,Ackley,50,rand1bin,22.21172599,1
SMCO_BR_EVO,Ackley,50,best1bin,22.21012927,2
SMCO_BR_EVO,Ackley,50,current-to-best1bin,22.18122964,3
SMCO_BR_EVO,Ackley,50,sobol,22.07273105,4
SMCO_BR_EVO,Ackley,100,rand1bin,22.20386099,1
SMCO_BR_EVO,Ackley,100,best1bin,22.2007607,2
SMCO_BR_EVO,Ackley,100,current-to-best1bin,22.18446464,3
SMCO_BR_EVO,Ackley,100,sobol,22.033526,4
SMCO_BR_EVO,Ackley,200,best1bin,22.20145069,1
SMCO_BR_EVO,Ackley,200,rand1bin,22.19753446,2
SMCO_BR_EVO,Ackley,200,current-to-best1bin,22.18722813,3
SMCO_BR_EVO,Ackley,200,sobol,21.97709028,4
SMCO_BR_EVO,Ackley,500,rand1bin,22.18415327,1
SMCO_BR_EVO,Ackley,500,best1bin,22.17619958,2
SMCO_BR_EVO,Ackley,500,current-to-best1bin,22.16166041,3
SMCO_BR_EVO,Ackley,500,sobol,21.96493899,4
SMCO_BR_EVO,Ackley,1000,rand1bin,22.19297949,1
SMCO_BR_EVO,Ackley,1000,best1bin,22.1789272,2
SMCO_BR_EVO,Ackley,1000,current-to-best1bin,22.15998727,3
SMCO_BR_EVO,Ackley,1000,sobol,21.94027778,4
SMCO_BR_EVO,Ackley,2000,rand1bin,22.18821204,1
SMCO_BR_EVO,Ackley,2000,best1bin,22.17491681,2
SMCO_BR_EVO,Ackley,2000,current-to-best1bin,22.15386391,3
SMCO_BR_EVO,Ackley,2000,sobol,21.92223404,4
SMCO_BR_EVO,Ackley,3000,rand1bin,22.17783126,1
SMCO_BR_EVO,Ackley,3000,best1bin,22.16978212,2
SMCO_BR_EVO,Ackley,3000,current-to-best1bin,22.14900609,3
SMCO_BR_EVO,Ackley,3000,sobol,21.91459008,4
SMCO_BR_EVO,Ackley,4000,rand1bin,22.18100381,1
SMCO_BR_EVO,Ackley,4000,best1bin,22.16507422,2
SMCO_BR_EVO,Ackley,4000,current-to-best1bin,22.14027055,3
SMCO_BR_EVO,Ackley,4000,sobol,21.92838426,4
SMCO_BR_EVO,Ackley,5000,rand1bin,22.18490993,1
SMCO_BR_EVO,Ackley,5000,best1bin,22.17089622,2
SMCO_BR_EVO,Ackley,5000,current-to-best1bin,22.15204417,3
SMCO_BR_EVO,Ackley,5000,sobol,21.93677007,4
SMCO_BR_EVO,Rosenbrock,50,best1bin,26589262.67881824,1
SMCO_BR_EVO,Rosenbrock,50,rand1bin,26245254.52744256,2
SMCO_BR_EVO,Rosenbrock,50,current-to-best1bin,25824113.6415854,3
SMCO_BR_EVO,Rosenbrock,50,sobol,25777195.21691478,4
SMCO_BR_EVO,Rosenbrock,100,best1bin,48362434.75989135,1
SMCO_BR_EVO,Rosenbrock,100,rand1bin,48148821.41426232,2
SMCO_BR_EVO,Rosenbrock,100,current-to-best1bin,48026755.33157219,3
SMCO_BR_EVO,Rosenbrock,100,sobol,47962537.3003713,4
SMCO_BR_EVO,Rosenbrock,200,best1bin,90204671.64436342,1
SMCO_BR_EVO,Rosenbrock,200,current-to-best1bin,88751492.55925764,2
SMCO_BR_EVO,Rosenbrock,200,rand1bin,87656387.0616571,3
SMCO_BR_EVO,Rosenbrock,200,sobol,87256989.45341036,4
SMCO_BR_EVO,Rosenbrock,500,best1bin,203191321.91407925,1
SMCO_BR_EVO,Rosenbrock,500,rand1bin,201857043.123427,2
SMCO_BR_EVO,Rosenbrock,500,current-to-best1bin,198440396.84318468,3
SMCO_BR_EVO,Rosenbrock,500,sobol,194307656.8873442,4
SMCO_BR_EVO,Rosenbrock,1000,best1bin,372046389.76400423,1
SMCO_BR_EVO,Rosenbrock,1000,rand1bin,367745225.4843526,2
SMCO_BR_EVO,Rosenbrock,1000,current-to-best1bin,361314025.78286856,3
SMCO_BR_EVO,Rosenbrock,1000,sobol,348019751.24023837,4
SMCO_BR_EVO,Rosenbrock,2000,best1bin,685824638.2370745,1
