strategy,func,algo,dim,fopt_mean,fopt_std
rand1bin,Rosenbrock,SA,50,27331490.25,2316655.68128128
rand1bin,Rosenbrock,SA,100,52882416.0,2949626.04275997
rand1bin,Rosenbrock,SA,200,108594778.5,3608822.76201014
rand1bin,Rosenbrock,SA,500,269683542.0,10548525.59288536
rand1bin,Rosenbrock,SA,1000,542589309.0,12621181.79874858
rand1bin,Rosenbrock,SA,2000,1082940579.0,8933773.43087875
rand1bin,Rosenbrock,SA,3000,1590726046.5,9291924.04147884
rand1bin,Rosenbrock,SA,4000,2174326321.5,43627848.46757301
rand1bin,Rosenbrock,SA,5000,2720911801.5,9737210.39479545
rand1bin,Rosenbrock,DEoptim,50,19070985.76680293,879559.77396488
rand1bin,Rosenbrock,DEoptim,100,28044571.62015562,897585.1057089
rand1bin,Rosenbrock,DEoptim,200,45125424.91177361,1220595.58417272
rand1bin,Rosenbrock,DEoptim,500,90626987.21461594,2641635.799278
rand1bin,Rosenbrock,DEoptim,1000,160936607.22145408,1809647.55990471
rand1bin,Rosenbrock,DEoptim,2000,298880966.55981404,1950522.26820004
rand1bin,Rosenbrock,DEoptim,3000,435025937.7010499,1217440.10858186
rand1bin,Rosenbrock,DEoptim,4000,570759716.329524,5675936.20214147
rand1bin,Rosenbrock,DEoptim,5000,703836218.4663241,2028375.75898374
rand1bin,Rosenbrock,GA,50,26248513.5119487,1670717.20601426
rand1bin,Rosenbrock,GA,100,45144330.78568907,2165425.55840196
rand1bin,Rosenbrock,GA,200,77429598.63905175,2892965.18567918
rand1bin,Rosenbrock,GA,500,148048142.29008248,6077435.54117778
rand1bin,Rosenbrock,GA,1000,228741053.82543468,7389568.32242458
rand1bin,Rosenbrock,GA,2000,378960173.9105427,6896060.8276522
rand1bin,Rosenbrock,GA,3000,558462340.9012433,5478799.34591137
rand1bin,Rosenbrock,GA,4000,681387818.6390367,13240574.11462637
rand1bin,Rosenbrock,GA,5000,863871393.4097356,12846378.8507324
rand1bin,Rosenbrock,PSO,50,30841751.25,1840176.92048709
rand1bin,Rosenbrock,PSO,100,58428327.0,3610244.67026959
rand1bin,Rosenbrock,PSO,200,114019960.5,6510695.67866004
rand1bin,Rosenbrock,PSO,500,275462037.0,6193684.96372575
rand1bin,Rosenbrock,PSO,1000,532788129.0,12765771.19146793
rand1bin,Rosenbrock,PSO,2000,1038838524.0,7808743.05474799
rand1bin,Rosenbrock,PSO,3000,1567742184.0,1543260.54993964
rand1bin,Rosenbrock,PSO,4000,2080429884.0,10310444.18463385
rand1bin,Rosenbrock,PSO,5000,2607259441.5,28607564.0033543
rand1bin,Griewank,SMCO,50,4400.89200506,5.90461186
rand1bin,Griewank,SMCO,100,8740.09630003,8.42755298
rand1bin,Griewank,SMCO,200,17226.59242376,12.77411878
rand1bin,Griewank,SMCO_R,50,4332.10767341,9.00328835
rand1bin,Griewank,SMCO_R,100,8565.92068992,12.90743594
rand1bin,Griewank,SMCO_R,200,16732.05754061,22.18238311
rand1bin,Griewank,SMCO_BR,50,4161.670566,17.9852853
rand1bin,Griewank,SMCO_BR,100,8146.54301849,23.16916436
rand1bin,Griewank,SMCO_BR,200,15582.82164854,43.64319456
rand1bin,Griewank,SMCO_EVO,50,4400.65907896,5.80388996
rand1bin,Griewank,SMCO_EVO,100,8741.11846355,5.47377624
rand1bin,Griewank,SMCO_EVO,200,17224.57012777,13.48559107
rand1bin,Griewank,SMCO_R_EVO,50,4331.19851129,9.19548381
rand1bin,Griewank,SMCO_R_EVO,100,8568.8413522,13.92561113
rand1bin,Griewank,SMCO_R_EVO,200,16723.67049014,23.79878591
rand1bin,Griewank,SMCO_BR_EVO,50,4160.22636653,15.61698489
rand1bin,Griewank,SMCO_BR_EVO,100,8149.34328134,27.92855434
rand1bin,Griewank,SMCO_BR_EVO,200,15579.65369232,47.41845762
rand1bin,Griewank,GenSA,50,4501.0,0.0
rand1bin,Griewank,GenSA,100,9001.0,0.0
rand1bin,Griewank,GenSA,200,18001.0,0.0
rand1bin,Griewank,SA,50,4501.0,0.0
rand1bin,Griewank,SA,100,9001.0,0.0
rand1bin,Griewank,SA,200,18001.0,0.0
rand1bin,Griewank,DEoptim,50,2632.15324533,45.34744873
rand1bin,Griewank,DEoptim,100,4549.27757778,98.02540848
rand1bin,Griewank,DEoptim,200,7992.15823964,104.21983942
rand1bin,Griewank,GA,50,4252.25924766,20.13193741
rand1bin,Griewank,GA,100,7833.49022911,54.37418962
rand1bin,Griewank,GA,200,13845.08661474,217.06375432
rand1bin,Griewank,PSO,50,4501.0,0.0
rand1bin,Griewank,PSO,100,9001.0,0.0
rand1bin,Griewank,PSO,200,18001.0,0.0
rand1bin,Zakharov,SMCO,50,1544460382804846.5,7992420858986.234
rand1bin,Zakharov,SMCO,100,3.726719113127506e+17,1250349683025672.0
rand1bin,Zakharov,SMCO,200,8.905104024024446e+19,2.5670340792716826e+17
rand1bin,Zakharov,SMCO,500,1.2530257290868337e+23,6.107884466985734e+20
rand1bin,Zakharov,SMCO_R,50,1472185536847872.8,12426341458557.328
rand1bin,Zakharov,SMCO_R,100,3.5073620183415974e+17,1926915758823682.0
rand1bin,Zakharov,SMCO_R,200,8.126408086905997e+19,3.836824921014385e+17
rand1bin,Zakharov,SMCO_R,500,1.0966824087560668e+23,9.345209817156776e+20
rand1bin,Zakharov,SMCO_BR,50,1302651618260598.5,23315286833952.996
rand1bin,Zakharov,SMCO_BR,100,3.007640369869114e+17,3232375327143844.0
rand1bin,Zakharov,SMCO_BR,200,6.463198018702149e+19,6.435082558752614e+17
rand1bin,Zakharov,SMCO_BR,500,7.947977905345289e+22,1.3861791465852392e+21
rand1bin,Zakharov,SMCO_EVO,50,1547305404807157.0,9391768157088.848
rand1bin,Zakharov,SMCO_EVO,100,3.730718501511657e+17,1066060665324142.8
rand1bin,Zakharov,SMCO_EVO,200,8.927761864045686e+19,3.820218686040357e+17
rand1bin,Zakharov,SMCO_EVO,500,1.2528603542628458e+23,5.8091422304444416e+20
rand1bin,Zakharov,SMCO_R_EVO,50,1479474019474247.8,13812085828144.836
rand1bin,Zakharov,SMCO_R_EVO,100,3.518469888496277e+17,2109091376897784.2
rand1bin,Zakharov,SMCO_R_EVO,200,8.148645008091346e+19,3.7519831661958496e+17
rand1bin,Zakharov,SMCO_R_EVO,500,1.1005364578881726e+23,8.147882767704327e+20
rand1bin,Zakharov,SMCO_BR_EVO,50,1321042363222150.5,24102205537248.723
rand1bin,Zakharov,SMCO_BR_EVO,100,3.0262312051554906e+17,3199610820721591.5
rand1bin,Zakharov,SMCO_BR_EVO,200,6.520086193040035e+19,7.251444232260769e+17
rand1bin,Zakharov,SMCO_BR_EVO,500,7.98763530022454e+22,1.2296915503799243e+21
rand1bin,Zakharov,GenSA,50,1651660441036249.5,0.51298918
rand1bin,Zakharov,GenSA,100,4.064859420438224e+17,66.2462937
rand1bin,Zakharov,GenSA,200,1.0201505007260028e+20,17270.25239473
rand1bin,Zakharov,GenSA,500,1.538122607450211e+23,0.0
rand1bin,Zakharov,SA,50,1651660441036249.5,0.51298918
rand1bin,Zakharov,SA,100,4.064859420438224e+17,66.2462937
rand1bin,Zakharov,SA,200,1.0201505007260028e+20,17270.25239473
rand1bin,Zakharov,SA,500,1.538122607450211e+23,0.0
rand1bin,Zakharov,DEoptim,50,1104786159318461.4,41008676014195.8
rand1bin,Zakharov,DEoptim,100,1.564472855667245e+17,9897128688007304.0
rand1bin,Zakharov,DEoptim,200,2.0586170592747446e+19,1.8998501404724483e+18
rand1bin,Zakharov,DEoptim,500,1.2943695526983188e+22,5.9235355357647e+20
rand1bin,Zakharov,GA,50,1512953031732195.5,14874814047637.252
rand1bin,Zakharov,GA,100,3.259341240180298e+17,7040179989504867.0
rand1bin,Zakharov,GA,200,6.714015930255444e+19,1.8176817638186586e+18
rand1bin,Zakharov,GA,500,6.343866956064009e+22,1.1512716884013191e+21
rand1bin,Zakharov,PSO,50,853915058111520.0,250234577726447.6
rand1bin,Zakharov,PSO,100,1.378653984224628e+17,3.77021994835253e+16
rand1bin,Zakharov,PSO,200,1.881315786450292e+19,3.9640962279944996e+18
rand1bin,Zakharov,PSO,500,1.2531567661324549e+22,1.1182216567605034e+21
current-to-best1bin,Rastrigin,SMCO,50,1711.62747192,31.96178581
current-to-best1bin,Rastrigin,SMCO,100,3268.52822567,41.5475958
current-to-best1bin,Rastrigin,SMCO,200,6337.69809851,65.48378907
current-to-best1bin,Rastrigin,SMCO,500,14779.85184275,67.19184403
current-to-best1bin,Rastrigin,SMCO,1000,29109.96616976,141.88767119
current-to-best1bin,Rastrigin,SMCO,2000,57881.3549303,215.4658672
current-to-best1bin,Rastrigin,SMCO,3000,86021.13959544,26.78539022
current-to-best1bin,Rastrigin,SMCO,4000,114310.45677346,234.33160425
current-to-best1bin,Rastrigin,SMCO,5000,142458.32504619,194.88279805
current-to-best1bin,Rastrigin,SMCO_R,50,1711.40074284,32.72299442
current-to-best1bin,Rastrigin,SMCO_R,100,3268.93924566,42.25257424
current-to-best1bin,Rastrigin,SMCO_R,200,6344.19993499,65.7027131
current-to-best1bin,Rastrigin,SMCO_R,500,14794.53924205,67.5173606
current-to-best1bin,Rastrigin,SMCO_R,1000,29138.03230207,142.43430035
current-to-best1bin,Rastrigin,SMCO_R,2000,57929.57599256,217.7766563
