strategy,func,dim,algo,fopt_mean,time_mean,is_pareto,is_evo
rand1bin,Rastrigin,500,SMCO_R,14794.53924205,180.54,0,False
rand1bin,Rastrigin,500,DEoptim,10307.57974086,648.25,0,False
rand1bin,Rastrigin,500,SMCO_BR_EVO,14784.19551548,201.59,0,True
rand1bin,Rastrigin,500,PSO,14588.07120404,0.56,1,False
rand1bin,Rastrigin,5000,GenSA,201766.21261094,2264.37,1,False
rand1bin,Rastrigin,5000,SMCO_EVO,142431.54650329,25765.33,0,True
rand1bin,Rastrigin,5000,SMCO_BR,142460.14573843,26929.22,0,False
rand1bin,Rastrigin,5000,SMCO_R_EVO,142539.9339122,24447.46,0,True
rand1bin,Rastrigin,5000,SA,144455.59698672,1406.9,0,False
rand1bin,Rastrigin,5000,SMCO,142458.32504619,23849.14,0,False
rand1bin,Rastrigin,5000,GA,94743.88053802,8.15,0,False
rand1bin,Rastrigin,5000,SMCO_R,142512.25069086,22956.83,0,False
rand1bin,Rastrigin,5000,DEoptim,95772.36984368,38644.39,0,False
rand1bin,Rastrigin,5000,SMCO_BR_EVO,142458.56569411,27244.55,0,True
rand1bin,Rastrigin,5000,PSO,144957.97011654,4.37,1,False
rand1bin,Rosenbrock,100,GenSA,80490519.0,4.81,1,False
rand1bin,Rosenbrock,100,optimNM,16771626.49192624,0.34,0,False
rand1bin,Rosenbrock,100,SPSA,62819103.0,0.2,1,False
rand1bin,Rosenbrock,100,optimLBFGS,58029237.0,0.08,1,False
rand1bin,Rosenbrock,100,SMCO_EVO,54636047.60828162,10.82,0,True
rand1bin,Rosenbrock,100,SMCO_BR,47986687.78786815,10.5,0,False
rand1bin,Rosenbrock,100,SA,52882416.0,3.03,0,False
rand1bin,Rosenbrock,100,SMCO_R_EVO,52699529.12167532,9.88,0,True
rand1bin,Rosenbrock,100,BOBYQA,56224390.06931541,397.3,0,False
rand1bin,Rosenbrock,100,SignGD,53284748.33492387,2.34,0,False
rand1bin,Rosenbrock,100,GA,45144330.78568907,0.88,0,False
rand1bin,Rosenbrock,100,SMCO,54630111.70819072,10.07,0,False
rand1bin,Rosenbrock,100,SMCO_BR_EVO,48148821.41426232,9.79,0,True
rand1bin,Rosenbrock,100,SMCO_R,52616803.95826252,10.49,0,False
rand1bin,Rosenbrock,100,DEoptim,28044571.62015562,57.24,0,False
rand1bin,Rosenbrock,100,GD,57996234.0,0.09,0,False
rand1bin,Rosenbrock,100,PSO,58428327.0,0.25,0,False
rand1bin,Rosenbrock,100,ADAM,45450527.51475112,11.2,0,False
rand1bin,Rosenbrock,1000,GenSA,809563419.0,116.93,1,False
rand1bin,Rosenbrock,1000,SMCO_EVO,463431517.42857647,401.04,0,True
rand1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,412.06,0,False
rand1bin,Rosenbrock,1000,SMCO_R_EVO,422691334.4917344,417.07,0,True
rand1bin,Rosenbrock,1000,SA,542589309.0,33.79,1,False
rand1bin,Rosenbrock,1000,SMCO,463389064.88490987,414.25,0,False
rand1bin,Rosenbrock,1000,GA,228741053.82543468,1.61,0,False
rand1bin,Rosenbrock,1000,SMCO_R,422712947.9742656,409.38,0,False
rand1bin,Rosenbrock,1000,DEoptim,160936607.22145408,1599.11,0,False
rand1bin,Rosenbrock,1000,SMCO_BR_EVO,367745225.4843526,420.99,0,True
rand1bin,Rosenbrock,1000,PSO,532788129.0,0.66,1,False
rand1bin,Rosenbrock,200,GenSA,161498619.0,11.63,1,False
rand1bin,Rosenbrock,200,optimNM,31865156.69439496,1.13,0,False
rand1bin,Rosenbrock,200,SPSA,120061597.5,0.53,1,False
rand1bin,Rosenbrock,200,optimLBFGS,113682352.5,0.32,0,False
rand1bin,Rosenbrock,200,SMCO_EVO,103132153.02411371,33.33,0,True
rand1bin,Rosenbrock,200,SMCO_R_EVO,98068775.4764937,28.69,0,True
rand1bin,Rosenbrock,200,SA,108594778.5,6.66,0,False
rand1bin,Rosenbrock,200,SMCO_BR,87336134.89183861,34.24,0,False
rand1bin,Rosenbrock,200,BOBYQA,92167514.63310555,822.6,0,False
rand1bin,Rosenbrock,200,SignGD,102750654.84401383,8.22,0,False
rand1bin,Rosenbrock,200,GA,77429598.63905175,0.96,0,False
rand1bin,Rosenbrock,200,SMCO_R,98101461.91474606,30.42,0,False
rand1bin,Rosenbrock,200,SMCO,103124528.56873003,32.5,0,False
rand1bin,Rosenbrock,200,SMCO_BR_EVO,87656387.0616571,34.14,0,True
rand1bin,Rosenbrock,200,DEoptim,45125424.91177361,150.69,0,False
rand1bin,Rosenbrock,200,GD,113610348.0,0.37,0,False
rand1bin,Rosenbrock,200,PSO,114019960.5,0.3,1,False
rand1bin,Rosenbrock,200,ADAM,88888122.33250095,35.26,0,False
rand1bin,Rosenbrock,2000,GenSA,1619644419.0,386.97,1,False
rand1bin,Rosenbrock,2000,SMCO_EVO,869043776.6301566,1308.68,0,True
rand1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,1339.1,0,False
rand1bin,Rosenbrock,2000,SMCO_R_EVO,781450086.1351376,1344.5,0,True
rand1bin,Rosenbrock,2000,SA,1082940579.0,90.33,1,False
rand1bin,Rosenbrock,2000,SMCO,869247612.9724324,1324.59,0,False
rand1bin,Rosenbrock,2000,GA,378960173.9105427,2.23,0,False
rand1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,1319.46,0,False
rand1bin,Rosenbrock,2000,DEoptim,298880966.55981404,5182.24,0,False
rand1bin,Rosenbrock,2000,SMCO_BR_EVO,681642200.328956,1255.38,0,True
rand1bin,Rosenbrock,2000,PSO,1038838524.0,0.85,1,False
rand1bin,Rosenbrock,3000,GenSA,2429725419.0,712.35,1,False
rand1bin,Rosenbrock,3000,SMCO_EVO,1239484708.4143791,2626.81,0,True
rand1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,2701.22,0,False
rand1bin,Rosenbrock,3000,SMCO_R_EVO,1096805777.1641424,2602.6,0,True
rand1bin,Rosenbrock,3000,SA,1590726046.5,118.2,1,False
rand1bin,Rosenbrock,3000,SMCO,1239722873.845387,2694.02,0,False
rand1bin,Rosenbrock,3000,GA,558462340.9012433,3.09,0,False
rand1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,2681.96,0,False
rand1bin,Rosenbrock,3000,DEoptim,435025937.7010499,12384.79,0,False
rand1bin,Rosenbrock,3000,SMCO_BR_EVO,984001031.0391653,2598.18,0,True
rand1bin,Rosenbrock,3000,PSO,1567742184.0,1.61,1,False
rand1bin,Rosenbrock,4000,GenSA,3239806419.0,1295.88,1,False
rand1bin,Rosenbrock,4000,SMCO_EVO,1601772804.8045108,4842.14,0,True
rand1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,4467.37,0,False
rand1bin,Rosenbrock,4000,SMCO_R_EVO,1458666064.155912,4460.16,0,True
rand1bin,Rosenbrock,4000,SA,2174326321.5,197.09,1,False
rand1bin,Rosenbrock,4000,SMCO,1601610810.9908462,4568.72,0,False
rand1bin,Rosenbrock,4000,GA,681387818.6390367,4.46,0,False
rand1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,4446.11,0,False
rand1bin,Rosenbrock,4000,DEoptim,570759716.329524,20430.26,0,False
rand1bin,Rosenbrock,4000,SMCO_BR_EVO,1284332464.5678978,4715.02,0,True
rand1bin,Rosenbrock,4000,PSO,2080429884.0,1.92,1,False
rand1bin,Rosenbrock,50,GenSA,39986469.0,2.37,1,False
rand1bin,Rosenbrock,50,optimNM,10613361.00086785,0.22,0,False
rand1bin,Rosenbrock,50,SPSA,33023281.5,0.13,1,False
rand1bin,Rosenbrock,50,optimLBFGS,29931543.0,0.04,1,False
rand1bin,Rosenbrock,50,SMCO_BR,25826421.5384137,4.51,0,False
rand1bin,Rosenbrock,50,SMCO_R_EVO,27998607.69056036,4.55,0,True
rand1bin,Rosenbrock,50,SA,27331490.25,1.65,0,False
rand1bin,Rosenbrock,50,SMCO_EVO,28834998.96402782,4.19,0,True
