strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.5234,2.9,0.1803
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.6037,4.87,0.1239
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.9293,-3.17,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.8914,1.24,0.7161
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.9654,0.32,3.0229
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.0782,3.07,0.3508
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.6727,-0.14,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,1.8293,0.11,16.2688
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,1.7787,3.63,0.49
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,0.0145,3.98,0.0036
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,-0.0026,-0.54,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,0.3877,3.89,0.0998
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,0.0419,0.3,0.1389
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,-0.0126,-2.39,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.0062,-11.11,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,1.4852,-4.92,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2.4116,-13.1,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,4.0045,-3.97,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,-0.0256,-0.59,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,0.0313,4.71,0.0066
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,-0.0492,-8.09,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,0.6666,-0.06,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,0.3464,-0.93,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.6896,-1.16,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.2076,-3.36,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.0504,4.85,-0.0104
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,0.0605,3.58,0.0169
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.0013,-1.1,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,0.002,2.05,0.001
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0026,1.9,-0.0014
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,-0.0004,1.72,-0.0002
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.005,1.04,0.0048
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.0051,9.37,0.0005
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,-0.0012,-0.02,inf
