task_id,algo,func,dim,rep,fopt,time,iterations,pair
181,SMCO_R_EVO,Zakharov,500,0,1.0982607965967184e+23,183.2374579809839,323,SMCO_R_vs_SMCO_R_EVO
185,SMCO_BR_EVO,Zakharov,500,0,7.986871636163065e+22,171.43355820700526,173,SMCO_BR_vs_SMCO_BR_EVO
183,SMCO_EVO,Zakharov,500,0,1.255449381410909e+23,186.25712501897942,323,SMCO_vs_SMCO_EVO
187,SMCO_R_EVO,Zakharov,500,1,1.0893550231044274e+23,172.4830923100235,323,SMCO_R_vs_SMCO_R_EVO
189,SMCO_EVO,Zakharov,500,1,1.246615757505666e+23,157.54916915798094,323,SMCO_vs_SMCO_EVO
191,SMCO_BR_EVO,Zakharov,500,1,7.808271316701338e+22,160.5840614499757,173,SMCO_BR_vs_SMCO_BR_EVO
192,SMCO_R,Zakharov,500,2,1.0884171913791486e+23,165.3701339979889,173,SMCO_R_vs_SMCO_R_EVO
194,SMCO,Zakharov,500,2,1.2469356738548637e+23,169.94872393889818,323,SMCO_vs_SMCO_EVO
190,SMCO_BR,Zakharov,500,1,7.822069752141008e+22,180.3053427580744,98,SMCO_BR_vs_SMCO_BR_EVO
193,SMCO_R_EVO,Zakharov,500,2,1.0926733693579949e+23,187.33700412407052,323,SMCO_R_vs_SMCO_R_EVO
195,SMCO_EVO,Zakharov,500,2,1.2485119314452832e+23,177.91558317595627,323,SMCO_vs_SMCO_EVO
200,SMCO,Zakharov,500,3,1.2564349476352782e+23,153.95042723603547,323,SMCO_vs_SMCO_EVO
198,SMCO_R,Zakharov,500,3,1.1019359800920663e+23,174.87251753290184,173,SMCO_R_vs_SMCO_R_EVO
196,SMCO_BR,Zakharov,500,2,7.824957748653788e+22,190.5774448910961,98,SMCO_BR_vs_SMCO_BR_EVO
197,SMCO_BR_EVO,Zakharov,500,2,7.845962935294065e+22,183.92838442104403,173,SMCO_BR_vs_SMCO_BR_EVO
201,SMCO_EVO,Zakharov,500,3,1.258235437963888e+23,161.25234099302907,323,SMCO_vs_SMCO_EVO
199,SMCO_R_EVO,Zakharov,500,3,1.1021123578187314e+23,170.92239126900677,323,SMCO_R_vs_SMCO_R_EVO
204,SMCO_R,Zakharov,500,4,1.089204097788817e+23,156.19913143198937,173,SMCO_R_vs_SMCO_R_EVO
207,SMCO_EVO,Zakharov,500,4,1.2473503222470956e+23,152.24050322989933,323,SMCO_vs_SMCO_EVO
202,SMCO_BR,Zakharov,500,3,8.022056032696676e+22,170.69793017895427,98,SMCO_BR_vs_SMCO_BR_EVO
203,SMCO_BR_EVO,Zakharov,500,3,8.025571691803591e+22,177.75275539106224,173,SMCO_BR_vs_SMCO_BR_EVO
205,SMCO_R_EVO,Zakharov,500,4,1.0891275566158837e+23,170.98957566195168,323,SMCO_R_vs_SMCO_R_EVO
209,SMCO_BR_EVO,Zakharov,500,4,7.834584783177925e+22,163.04976765206084,173,SMCO_BR_vs_SMCO_BR_EVO
220,SMCO_BR,Zakharov,500,6,7.947454040528883e+22,147.58662866591476,98,SMCO_BR_vs_SMCO_BR_EVO
218,SMCO,Zakharov,500,6,1.2533868306171976e+23,151.75157010601833,323,SMCO_vs_SMCO_EVO
214,SMCO_BR,Zakharov,500,5,8.008217878217411e+22,158.28576240793336,98,SMCO_BR_vs_SMCO_BR_EVO
206,SMCO,Zakharov,500,4,1.2484323713858627e+23,179.83159292698838,323,SMCO_vs_SMCO_EVO
217,SMCO_R_EVO,Zakharov,500,6,1.096694682950259e+23,158.49119904101826,323,SMCO_R_vs_SMCO_R_EVO
