task_id,algo,func,dim,rep,fopt,time,iterations,pair
125,SMCO_R_EVO,Rastrigin,2000,2,57816.78705151203,2585.810028634034,345,
123,SMCO_R_EVO,Rastrigin,2000,1,57517.064661813594,2608.712386577972,345,
124,SMCO_R,Rastrigin,2000,2,57816.33506336952,2617.704476652085,195,
122,SMCO_R,Rastrigin,2000,1,57511.832217718984,2626.087713873014,195,
120,SMCO_R,Rastrigin,2000,0,57912.84441303323,2639.036149846972,195,
121,SMCO_R_EVO,Rastrigin,2000,0,57894.94682465916,2675.9726051629987,345,
126,SMCO_R,Ackley,2000,0,21.89538844453022,3429.1148161051096,195,
127,SMCO_R_EVO,Ackley,2000,0,22.147881064762956,3483.57121061394,345,
128,SMCO_R,Ackley,2000,1,21.903244993298653,3391.968993013026,195,
130,SMCO_R,Ackley,2000,2,21.89952596074293,3394.5325672349427,195,
131,SMCO_R_EVO,Ackley,2000,2,22.14753856677269,3383.364637573017,345,
129,SMCO_R_EVO,Ackley,2000,1,22.158825558704503,3425.970711497939,345,
152,SMCO_R,Rosenbrock,5000,0,1686412250.470304,5149.789540771977,221,
154,SMCO_R,Rosenbrock,5000,1,1690464447.2593274,5132.963445511996,221,
153,SMCO_R_EVO,Rosenbrock,5000,0,1700616023.2241,5219.442304741009,371,
155,SMCO_R_EVO,Rosenbrock,5000,1,1784736416.9655776,5251.9714008599985,371,
144,SMCO_R,Rastrigin,5000,0,142511.31371244733,17296.612268908997,221,
146,SMCO_R,Rastrigin,5000,1,142823.88125108625,17296.06894422206,221,
145,SMCO_R_EVO,Rastrigin,5000,0,142520.0944661761,17701.720598050044,371,
147,SMCO_R_EVO,Rastrigin,5000,1,142778.62663114414,17760.861361647025,371,
150,SMCO_R,Ackley,5000,1,21.722663199491986,22671.166866695043,221,
148,SMCO_R,Ackley,5000,0,21.724821034405462,23223.677589891013,221,
149,SMCO_R_EVO,Ackley,5000,0,22.096457112645396,23401.60886998498,371,
151,SMCO_R_EVO,Ackley,5000,1,22.095021713554306,23672.36282472103,371,
