strategy,func,dim,algo,is_evo,mean,p01,p05,p10,worst,ae_from_best
rand1bin,Ackley,100,DEoptim,False,21.69894611390573,21.672239450591604,21.67237816955007,21.673828211552394,21.672204770851987,0.5852668259015381
rand1bin,Ackley,100,GA,False,21.747230058586418,21.71125178062293,21.71451537651155,21.716770509766263,21.710435881650778,0.536982881220851
rand1bin,Ackley,100,GD,False,21.996070927635813,21.92485169413189,21.932125186108507,21.948894231668156,21.923033321137734,0.2881420121714555
rand1bin,Ackley,100,GenSA,False,22.28421293980727,22.276343594733458,22.2764678757525,22.276650230247597,22.276312524478698,0.0
rand1bin,Ackley,100,PSO,False,22.034127095732682,21.969267497433567,21.992256811346575,22.00533050812045,21.963520168955313,0.25008584407458656
rand1bin,Ackley,100,SA,False,22.057599567521812,22.010179987031254,22.02313738484479,22.032018512378563,22.00694063757787,0.2266133722854562
rand1bin,Ackley,100,SMCO,False,21.535213676492056,21.472377323007198,21.4764778799948,21.483041280971978,21.471352183760295,0.7489992633152127
rand1bin,Ackley,100,SMCO_BR,False,22.034128689829082,22.012746647940183,22.01473803847449,22.01718778310696,22.012248800306605,0.2500842499781868
rand1bin,Ackley,100,SMCO_BR_EVO,True,22.203860993847588,22.162937431035495,22.177265745500364,22.18675748913972,22.15935535241928,0.08035194595968065
rand1bin,Ackley,100,SMCO_EVO,True,22.147884700290053,22.120905895181732,22.124639955354052,22.127340533446045,22.119972380138652,0.13632823951721562
rand1bin,Ackley,100,SMCO_R,False,22.038464384055782,22.021382703374655,22.02363717543242,22.02790068512276,22.020819085360213,0.24574855575148646
rand1bin,Ackley,100,SMCO_R_EVO,True,22.195775382492325,22.163610398405933,22.1642279732074,22.165523555781515,22.163456004705566,0.0884375573149434
rand1bin,Ackley,100,SPSA,False,21.522155498683365,21.449714132136524,21.45976548550949,21.468606831756357,21.447201293793285,0.7620574411239041
rand1bin,Ackley,100,SignGD,False,21.9938398998415,21.92224831292817,21.93032698141765,21.94756564093578,21.9202286458058,0.29037303996576824
rand1bin,Ackley,100,optimLBFGS,False,21.99607926083114,21.924851949421413,21.932124996194727,21.94889353527142,21.923033687728086,0.2881336789761271
rand1bin,Ackley,100,optimNM,False,21.56106255398637,21.475726329745005,21.475775004785017,21.49221799368123,21.475714160985,0.7231503858208974
rand1bin,Ackley,1000,DEoptim,False,21.402380589659607,21.3886014517025,21.389963546103175,21.391666164104016,21.38826092810233,0.790598897217798
rand1bin,Ackley,1000,GA,False,21.469110045827815,21.455910346664727,21.456872852520814,21.458075984840924,21.455669720200703,0.7238694410495903
rand1bin,Ackley,1000,GenSA,False,22.1311893631594,21.976294104790234,22.00826264595669,22.048223322414763,21.968301969498622,0.06179012371800496
rand1bin,Ackley,1000,PSO,False,21.78589313424506,21.75655240012195,21.75898847273919,21.762033563510737,21.75594338196764,0.4070863526323443
rand1bin,Ackley,1000,SA,False,21.962780464187713,21.94468922838109,21.945824258377346,21.947243045872668,21.944405470882025,0.2301990226896926
rand1bin,Ackley,1000,SMCO,False,21.356747941768013,21.338198090016363,21.340654849875516,21.34372579969946,21.337583900051573,0.836231545109392
rand1bin,Ackley,1000,SMCO_BR,False,21.941297712620617,21.929859304712018,21.93052201676404,21.93135040682907,21.929693626699013,0.25168177425678806
rand1bin,Ackley,1000,SMCO_BR_EVO,True,22.192979486877405,22.177089045433316,22.17952575501556,22.182571641993363,22.176479868037756,0.0
rand1bin,Ackley,1000,SMCO_EVO,True,22.11808487114355,22.1037975259759,22.103969211757345,22.104183818984154,22.103754604530536,0.0748946157338537
rand1bin,Ackley,1000,SMCO_R,False,21.949291370787886,21.939387474718565,21.939999376758824,21.940764254309148,21.9392344992085,0.243688116089519
rand1bin,Ackley,1000,SMCO_R_EVO,True,22.178027911537946,22.170326399477236,22.17091126489097,22.17164234665814,22.170180183123804,0.014951575339459566
rand1bin,Ackley,200,ADAM,False,21.984948895509298,21.953607519550587,21.953658506014648,21.953722239094724,21.953594772934572,0.2648402803168608
rand1bin,Ackley,200,BOBYQA,False,21.814960401591946,21.771668109744958,21.778339913258975,21.786679667651498,21.770000158866456,0.4348287742342123
rand1bin,Ackley,200,DEoptim,False,21.58458150439275,21.564712588879534,21.568246108391808,21.572663007782147,21.563829209001465,0.6652076714334072
rand1bin,Ackley,200,GA,False,21.65704026433761,21.624341804746027,21.62790224136696,21.632352787143127,21.623451695590795,0.5927489114885489
rand1bin,Ackley,200,GD,False,21.98502133493387,21.953622697264716,21.953787315784442,21.953993088934094,21.953581542634787,0.26476784089229
rand1bin,Ackley,200,GenSA,False,22.24978917582616,22.238278155218538,22.240560707940485,22.243413898842917,22.23770751703805,0.0
rand1bin,Ackley,200,PSO,False,21.952550274180496,21.879620881633226,21.881559992691184,21.883983881513632,21.87913610386874,0.29723890164566313
rand1bin,Ackley,200,SA,False,22.046525361820606,22.014316688070462,22.01448233468625,22.014689392955987,22.014275276416516,0.2032638140055525
rand1bin,Ackley,200,SMCO,False,21.418222373910474,21.37629330503533,21.378343987169078,21.38090733983626,21.375780634501893,0.8315668019156846
rand1bin,Ackley,200,SMCO_BR,False,21.972329805821822,21.94159164537184,21.943408785104918,21.945680209771268,21.94113736043857,0.27745937000433685
rand1bin,Ackley,200,SMCO_BR_EVO,True,22.19753445515662,22.164907564620435,22.17249454360283,22.181978267330823,22.163010819874835,0.052254720669537846
rand1bin,Ackley,200,SMCO_EVO,True,22.11989292319844,22.10673532086631,22.106816460001017,22.106917883919397,22.106715036082633,0.1298962526277201
rand1bin,Ackley,200,SMCO_R,False,21.953281028416217,21.905192080682266,21.91317488381145,21.923153387722934,21.90319637989997,0.29650814740994136
rand1bin,Ackley,200,SMCO_R_EVO,True,22.175408883473494,22.154220540573675,22.158292966977882,22.16338349998314,22.153202433972623,0.07438029235266441
rand1bin,Ackley,200,SPSA,False,21.45946628326309,21.392845833304435,21.399866131702876,21.40864150470093,21.391090758704824,0.7903228925630685
rand1bin,Ackley,200,SignGD,False,21.98372281301656,21.952247691469058,21.9523642939469,21.952510047044207,21.952218540849596,0.2660663628095996
rand1bin,Ackley,200,optimLBFGS,False,21.985023213836577,21.953634356468235,21.95379468540922,21.95399509658545,21.95359427423299,0.2647659619895819
rand1bin,Ackley,200,optimNM,False,21.44036847462342,21.38583550708193,21.390435576215733,21.396185662632988,21.38468548979848,0.8094207012027397
rand1bin,Ackley,2000,DEoptim,False,21.363056928357512,21.359987463766213,21.36032148861891,21.360739019684782,21.35990395755304,0.82515511656824
rand1bin,Ackley,2000,GA,False,21.423978267424815,21.414357686891528,21.41460251612376,21.41490855266405,21.41429647958347,0.7642337775009374
rand1bin,Ackley,2000,GenSA,False,21.940011709686967,21.929039122064466,21.930227381404553,21.931712705579656,21.928742057229446,0.24820033523878493
rand1bin,Ackley,2000,PSO,False,21.77345900855943,21.761853910912222,21.762741438442912,21.76385084785628,21.76163202902955,0.41475303636632077
rand1bin,Ackley,2000,SA,False,21.892474502729865,21.88756424294787,21.887599010320297,21.887642469535827,21.887555551104764,0.2957375421958872
rand1bin,Ackley,2000,SMCO,False,21.412231167680464,21.408455926765747,21.40846633701414,21.408479349824635,21.40845332420365,0.7759808772452885
rand1bin,Ackley,2000,SMCO_BR,False,21.921569244123116,21.919149004518832,21.919225287460495,21.91932064113757,21.919129933783417,0.2666428008026358
rand1bin,Ackley,2000,SMCO_BR_EVO,True,22.188212044925752,22.186507608413937,22.18658968454776,22.186692279715036,22.18648708938048,0.0
rand1bin,Ackley,2000,SMCO_EVO,True,22.115831469475065,22.10427310296859,22.105236896062472,22.106441637429825,22.10403215469512,0.07238057545068699
rand1bin,Ackley,2000,SMCO_R,False,21.90054567102072,21.898348527772768,21.89843674031517,21.898547005993173,21.898326474637166,0.2876663739050329
rand1bin,Ackley,2000,SMCO_R_EVO,True,22.177979438278655,22.175134885059418,22.175319272233622,22.175549756201374,22.175088788265867,0.010232606647097242
rand1bin,Ackley,3000,DEoptim,False,21.34290122913012,21.341795685321255,21.34188593379545,21.34199874438819,21.341773123202707,0.8349300277354317
rand1bin,Ackley,3000,GA,False,21.404660691573028,21.396936038031058,21.39756662199367,21.39835485194693,21.396778392040407,0.7731705652925243
rand1bin,Ackley,3000,GenSA,False,21.905400336903423,21.891046073921082,21.89221785049107,21.893682571203552,21.890753129778584,0.27243091996212954
rand1bin,Ackley,3000,PSO,False,21.74146523673044,21.730722457533844,21.731599419100913,21.732695621059747,21.730503217142076,0.43636602013511094
rand1bin,Ackley,3000,SA,False,21.864929046117897,21.855160218968848,21.85595767424632,21.856954493343164,21.85496085514948,0.3129022107476551
rand1bin,Ackley,3000,SMCO,False,21.532214189963604,21.529741528235572,21.529943378172554,21.530195690593782,21.529691065751326,0.6456170669019485
rand1bin,Ackley,3000,SMCO_BR,False,21.90992625267647,21.908169644426728,21.908313041018545,21.908492286758314,21.908133795278776,0.2679050041890818
rand1bin,Ackley,3000,SMCO_BR_EVO,True,22.177831256865552,22.177302299458166,22.177345479654686,22.17739945490034,22.177291504409034,0.0
rand1bin,Ackley,3000,SMCO_EVO,True,22.086193578036344,22.085382330399273,22.08544855469618,22.08553133506731,22.085365774325048,0.09163767882920837
rand1bin,Ackley,3000,SMCO_R,False,21.563667434577347,21.56078878066392,21.561023772820118,21.561317513015368,21.56073003262487,0.6141638222882051
rand1bin,Ackley,3000,SMCO_R_EVO,True,22.176596880481366,22.174767494038225,22.17491683170705,22.175103503793085,22.174730159621017,0.0012343763841862199
rand1bin,Ackley,4000,DEoptim,False,21.34122138647738,21.335966064887756,21.336395070731808,21.33693132803687,21.335858813426743,0.8397824238282254
rand1bin,Ackley,4000,GA,False,21.397228574401577,21.384619507110326,21.38564881872594,21.386935458245453,21.384362179206423,0.7837752359040273
rand1bin,Ackley,4000,GenSA,False,21.864770869740198,21.86091302829969,21.86122795413157,21.86162161142142,21.860834296841723,0.3162329405654063
rand1bin,Ackley,4000,PSO,False,21.711805007306616,21.706298910087384,21.706748387411402,21.707310234066426,21.706186540756377,0.46919880299898864
rand1bin,Ackley,4000,SA,False,21.842683492138292,21.83863951506837,21.838969635645505,21.839382286366927,21.838556984924086,0.33832031816731245
rand1bin,Ackley,4000,SMCO,False,21.664995317854874,21.663191859151517,21.66333908027016,21.66352310666846,21.663155053871858,0.5160084924507302
rand1bin,Ackley,4000,SMCO_BR,False,21.90941466516003,21.90731919514553,21.907490253922223,21.90770407739309,21.907276430451354,0.2715891451455761
rand1bin,Ackley,4000,SMCO_BR_EVO,True,22.181003810305604,22.17015042160114,22.17103641251579,22.172143901159103,22.169928923872476,0.0
rand1bin,Ackley,4000,SMCO_EVO,True,22.105049083661097,22.099283262768143,22.099753942024712,22.10034229109542,22.099165592954,0.07595472664450753
