strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
current-to-best1bin,50,PSO,170783017791861.6,0.3390299166389741,503740258337510.94,False
current-to-best1bin,50,SA,330332093674855.94,7.714845960489474,42817717342200.54,False
current-to-best1bin,50,SMCO,308892082280307.3,6.062580292983912,50950596503898.05,False
current-to-best1bin,50,SMCO_BR,260530328818583.53,6.168023791776505,42238865739450.4,False
current-to-best1bin,50,SMCO_BR_EVO,264315870723972.47,6.314161310610362,41860804265455.52,True
current-to-best1bin,50,SMCO_EVO,309446646029152.06,6.176329885155428,50102026896732.836,True
current-to-best1bin,50,SMCO_R,294437112923750.06,6.24260253614746,47165763192326.836,False
current-to-best1bin,50,SMCO_R_EVO,296399769545583.1,6.362458811667747,46585727046599.125,True
current-to-best1bin,50,SPSA,74309814438715.81,0.2314603974041529,321047640426208.56,False
current-to-best1bin,50,SignGD,330332093617501.4,2.229376272596419,148172427273922.53,False
current-to-best1bin,50,optimLBFGS,330332094194753.5,0.9904212783835828,333526855091271.9,False
current-to-best1bin,50,optimNM,6446230565605.022,0.27899755239021035,23104971747527.1,False
current-to-best1bin,100,ADAM,1.7761890650371926e+16,15.604489402845502,1138255164384489.2,False
current-to-best1bin,100,BOBYQA,7.473569017606766e+16,284.0203318687746,263135000527348.4,False
current-to-best1bin,100,DEoptim,3.1289457118955204e+16,70.38241056833105,444563590054616.06,False
current-to-best1bin,100,GA,6.518682481263699e+16,1.0285660028271377,6.337641399138523e+16,False
current-to-best1bin,100,GD,8.129718842036517e+16,7.323699080891286,1.1100563734586346e+16,False
current-to-best1bin,100,GenSA,8.129718842486518e+16,7.005513348182043,1.16047439187254e+16,False
current-to-best1bin,100,PSO,2.7573079696180624e+16,0.33914918310008946,8.130074041205424e+16,False
current-to-best1bin,100,SA,8.129718841934357e+16,15.25109798669815,5330579377973319.0,False
current-to-best1bin,100,SMCO,7.453438227347854e+16,15.04689126504585,4953473841246066.0,False
current-to-best1bin,100,SMCO_BR,6.01528074069819e+16,15.427850706254443,3898975207388803.0,False
current-to-best1bin,100,SMCO_BR_EVO,6.0865756512699e+16,15.628618886166562,3894506415187679.5,True
current-to-best1bin,100,SMCO_EVO,7.477870926701002e+16,15.254506963339324,4902073167407071.0,True
current-to-best1bin,100,SMCO_R,7.014724037735766e+16,15.054889896955961,4659432307873680.0,False
current-to-best1bin,100,SMCO_R_EVO,7.0390241117881496e+16,15.370222666049376,4579650057598936.0,True
current-to-best1bin,100,SPSA,8098238960196033.0,0.31535080599288146,2.568009596391784e+16,False
current-to-best1bin,100,SignGD,8.129718841942275e+16,5.2915307468889905,1.53636428300486e+16,False
current-to-best1bin,100,optimLBFGS,8.129718842037211e+16,1.6257865702733398,5.0004834525545256e+16,False
current-to-best1bin,100,optimNM,1025485206696362.6,0.4751664493853847,2158159962730535.2,False
current-to-best1bin,200,ADAM,4.152713206686902e+18,56.75856597369537,7.316451949493346e+16,False
current-to-best1bin,200,BOBYQA,1.706102073239267e+19,669.0890924603818,2.549887739113441e+16,False
current-to-best1bin,200,DEoptim,4.117234118558517e+18,187.9001424417924,2.191182010324421e+16,False
current-to-best1bin,200,GA,1.342803186052638e+19,1.1615908150328322,1.1560036190667397e+19,False
current-to-best1bin,200,GD,2.0403010014542787e+19,27.10364502166398,7.527773477786708e+17,False
current-to-best1bin,200,GenSA,2.0403010014552367e+19,18.08792443119455,1.1279906709122029e+18,False
current-to-best1bin,200,PSO,3.762631572923393e+18,0.4147954318113625,9.071053546786729e+18,False
current-to-best1bin,200,SA,2.0403010014541787e+19,33.700773115027694,6.054166753059968e+17,False
current-to-best1bin,200,SMCO,1.7810208048069521e+19,50.00838932219893,3.561444047581732e+17,False
current-to-best1bin,200,SMCO_BR,1.2926396037421769e+19,52.32296193200163,2.470501584795749e+17,False
