strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,500,0.20759303779966243,60.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,100,0.6822867812649877,100.0,15
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,1000,0.9967029451223106,100.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,200,0.9780406612994823,100.0,10
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,2000,1.0596625864884854,100.0,3
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,3000,1.0911941668515557,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,4000,1.0536835060634806,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,50,0.5040104245762097,100.0,20
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,500,0.9745275304752351,100.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,5000,1.0927346565501153,100.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,100,0.03677597443815377,60.0,15
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,200,-0.022202708130291158,70.0,10
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,50,-0.03761443064513688,55.00000000000001,20
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,0.06054251216514589,40.0,15
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,-0.0025978886079415834,40.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,0.0012651224594087279,60.0,10
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,-0.00037129250564273234,33.33333333333333,3
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,0.004978498221169264,50.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,0.00507566002280574,50.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,-0.050394058760580104,40.0,20
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,0.002023533904518793,40.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,-0.0011625669613674905,50.0,2
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,0.08349720631097632,40.0,15
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,3.768299609889046,80.0,5
current-to-best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,1.6205865638225003,60.0,10
