strategy,pair,base_algo,evo_algo,func,dim,n_reps,base_mean,evo_mean,improve_pct,evo_wins,base_wins,ties,win_rate,wilcoxon_p,significant_005
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,1000,5,29109.966169755517,29109.53341967424,-0.0014866045489453099,1,4,0,20.0,0.3125,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,200,10,6337.6980985074515,6337.65098984277,-0.0007433087526260119,5,5,0,50.0,0.6953125,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,2000,3,57881.35493030282,57883.29476627167,0.0033514004141492492,2,1,0,66.66666666666666,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,3000,2,86021.13959544411,86028.14017521989,0.008138208594655123,1,1,0,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,4000,2,114310.4567734591,114314.91250137634,0.003897918040931683,2,0,0,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,50,20,1711.6274719223056,1713.4561988222533,0.10684140853931715,10,10,0,50.0,0.7841262817382812,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,500,5,14779.85184274863,14779.682412667546,-0.0011463584539796153,1,4,0,20.0,0.625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,5000,2,142458.32504618834,142432.29777746001,-0.01827009317980538,0,2,0,0.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,100,15,54630111.708190724,54630038.65914772,-0.0001337157123115359,9,6,0,60.0,0.846923828125,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,1000,5,463389064.8849098,463443829.07431805,0.011818187686807905,4,1,0,80.0,0.4375,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,200,10,103124528.56873003,103140206.49786988,0.015202909877453218,6,4,0,60.0,0.625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,2000,3,869247612.9724323,869037289.3809952,-0.024196050503709772,0,3,0,0.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,3000,2,1239722873.845387,1239385157.2331452,-0.027241298790770203,0,2,0,0.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,4000,2,1601610810.9908462,1601826824.5663753,0.013487270068779096,1,1,0,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,50,20,28590556.089247297,28580313.2879377,-0.0358258205178772,6,14,0,30.0,0.3299827575683594,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,500,5,243714058.24041504,243705721.84840137,-0.0034205626355150462,2,3,0,40.0,0.8125,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,5000,2,1953961917.8469486,1953906656.3506606,-0.0028281767307396267,1,1,0,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,100,15,3.726719113127506e+17,3.7389354628040806e+17,0.32780441202402877,14,1,0,93.33333333333333,0.0001220703125,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,200,10,8.905104024024446e+19,8.92076331233532e+19,0.17584621435783382,10,0,0,100.0,0.001953125,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,50,20,1544460382804846.5,1547233201559311.5,0.1795331745207585,20,0,0,100.0,1.9073486328125e-06,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,500,5,1.2530257290868337e+23,1.2564853484884616e+23,0.27610122612160215,4,1,0,80.0,0.125,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,100,15,22.038464384055786,22.171520604488144,0.6037454248791531,15,0,0,100.0,6.103515625e-05,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,1000,5,21.949291370787886,22.161197404367336,0.9654345099335335,5,0,0,100.0,0.0625,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,200,10,21.953281028416214,22.1573011487096,0.9293377150745858,10,0,0,100.0,0.001953125,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,2000,3,21.90054567102072,22.136668196331595,1.0781581831694638,3,0,0,100.0,nan,0
