strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
current-to-best1bin,SMCO_BR_EVO,SPSA,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_BR_EVO,SignGD,140,85,225,62.22222222222222,37.77777777777778
current-to-best1bin,SMCO_BR_EVO,optimLBFGS,115,110,225,51.11111111111111,48.888888888888886
current-to-best1bin,SMCO_BR_EVO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_EVO,SMCO_R,236,51,287,82.22996515679442,17.770034843205575
current-to-best1bin,SMCO_EVO,SMCO_R_EVO,177,110,287,61.672473867595826,38.32752613240418
current-to-best1bin,SMCO_EVO,SPSA,165,60,225,73.33333333333333,26.666666666666668
current-to-best1bin,SMCO_EVO,SignGD,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_EVO,optimLBFGS,116,109,225,51.55555555555556,48.44444444444444
current-to-best1bin,SMCO_EVO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_R,SMCO_R_EVO,88,199,287,30.66202090592334,69.33797909407666
current-to-best1bin,SMCO_R,SPSA,165,60,225,73.33333333333333,26.666666666666668
current-to-best1bin,SMCO_R,SignGD,138,87,225,61.33333333333333,38.666666666666664
current-to-best1bin,SMCO_R,optimLBFGS,100,125,225,44.44444444444444,55.55555555555556
current-to-best1bin,SMCO_R,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_R_EVO,SPSA,165,60,225,73.33333333333333,26.666666666666668
current-to-best1bin,SMCO_R_EVO,SignGD,154,71,225,68.44444444444444,31.555555555555554
current-to-best1bin,SMCO_R_EVO,optimLBFGS,115,110,225,51.11111111111111,48.888888888888886
current-to-best1bin,SMCO_R_EVO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SPSA,SignGD,80,145,225,35.55555555555556,64.44444444444444
current-to-best1bin,SPSA,optimLBFGS,82,142,225,36.44444444444444,63.11111111111111
current-to-best1bin,SPSA,optimNM,146,79,225,64.88888888888889,35.11111111111111
current-to-best1bin,SignGD,optimLBFGS,39,141,225,17.333333333333336,62.66666666666667
current-to-best1bin,SignGD,optimNM,221,4,225,98.22222222222223,1.7777777777777777
current-to-best1bin,optimLBFGS,optimNM,225,0,225,100.0,0.0
rand1bin,ADAM,BOBYQA,95,130,225,42.22222222222222,57.77777777777777
rand1bin,ADAM,DEoptim,141,84,225,62.66666666666667,37.333333333333336
rand1bin,ADAM,GA,82,143,225,36.44444444444444,63.55555555555556
