strategy,func,dim,algo,rank,mean_fopt,total_methods
best1bin,Rosenbrock,200,ADAM,14,88888122.33250095,18
best1bin,Rosenbrock,200,SMCO_BR,15,87336134.89183861,18
best1bin,Rosenbrock,200,GA,16,77429598.63905175,18
best1bin,Rosenbrock,200,DEoptim,17,45125424.91177361,18
best1bin,Rosenbrock,200,optimNM,18,31865156.694394954,18
best1bin,Rosenbrock,2000,GenSA,1,1619644419.0,11
best1bin,Rosenbrock,2000,SA,2,1082940579.0,11
best1bin,Rosenbrock,2000,PSO,3,1038838524.0,11
best1bin,Rosenbrock,2000,SMCO,4,869247612.9724323,11
best1bin,Rosenbrock,2000,SMCO_EVO,5,869037289.3809952,11
best1bin,Rosenbrock,2000,SMCO_R_EVO,6,794743124.1546808,11
best1bin,Rosenbrock,2000,SMCO_R,7,775822748.1332974,11
best1bin,Rosenbrock,2000,SMCO_BR_EVO,8,685824638.2370745,11
best1bin,Rosenbrock,2000,SMCO_BR,9,618155929.2741712,11
best1bin,Rosenbrock,2000,GA,10,378960173.9105427,11
best1bin,Rosenbrock,2000,DEoptim,11,298880966.55981404,11
best1bin,Rosenbrock,3000,GenSA,1,2429725419.0,11
best1bin,Rosenbrock,3000,SA,2,1590726046.5,11
best1bin,Rosenbrock,3000,PSO,3,1567742184.0,11
best1bin,Rosenbrock,3000,SMCO,4,1239722873.845387,11
best1bin,Rosenbrock,3000,SMCO_EVO,5,1239385157.2331452,11
best1bin,Rosenbrock,3000,SMCO_R_EVO,6,1135294516.5534573,11
best1bin,Rosenbrock,3000,SMCO_R,7,1094303115.940483,11
best1bin,Rosenbrock,3000,SMCO_BR_EVO,8,955288955.6197197,11
best1bin,Rosenbrock,3000,SMCO_BR,9,859724697.6735848,11
best1bin,Rosenbrock,3000,GA,10,558462340.9012433,11
best1bin,Rosenbrock,3000,DEoptim,11,435025937.7010499,11
best1bin,Rosenbrock,4000,GenSA,1,3239806419.0,11
best1bin,Rosenbrock,4000,SA,2,2174326321.5,11
best1bin,Rosenbrock,4000,PSO,3,2080429884.0,11
best1bin,Rosenbrock,4000,SMCO_EVO,4,1607755773.5210905,11
best1bin,Rosenbrock,4000,SMCO,5,1601610810.9908462,11
best1bin,Rosenbrock,4000,SMCO_R_EVO,6,1449626148.1335459,11
best1bin,Rosenbrock,4000,SMCO_R,7,1399385030.0219135,11
best1bin,Rosenbrock,4000,SMCO_BR_EVO,8,1273971153.476194,11
best1bin,Rosenbrock,4000,SMCO_BR,9,1091605069.4387069,11
best1bin,Rosenbrock,4000,GA,10,681387818.6390367,11
best1bin,Rosenbrock,4000,DEoptim,11,570759716.329524,11
best1bin,Rosenbrock,50,GenSA,1,39986469.0,18
best1bin,Rosenbrock,50,SPSA,2,33023281.5,18
best1bin,Rosenbrock,50,PSO,3,30841751.25,18
best1bin,Rosenbrock,50,BOBYQA,4,30632859.930696595,18
best1bin,Rosenbrock,50,optimLBFGS,5,29931543.0,18
best1bin,Rosenbrock,50,GD,6,29870788.5,18
best1bin,Rosenbrock,50,SMCO_EVO,7,28787769.693364054,18
best1bin,Rosenbrock,50,SMCO,8,28590556.089247294,18
best1bin,Rosenbrock,50,SMCO_R_EVO,9,28090671.579043888,18
best1bin,Rosenbrock,50,SMCO_R,10,27764812.00991679,18
best1bin,Rosenbrock,50,SA,11,27331490.25,18
best1bin,Rosenbrock,50,SignGD,12,27047836.990695994,18
best1bin,Rosenbrock,50,SMCO_BR_EVO,13,26589262.678818237,18
best1bin,Rosenbrock,50,GA,14,26248513.511948694,18
best1bin,Rosenbrock,50,SMCO_BR,15,25826421.53841371,18
best1bin,Rosenbrock,50,ADAM,16,23710820.008628882,18
best1bin,Rosenbrock,50,DEoptim,17,19070985.766802933,18
best1bin,Rosenbrock,50,optimNM,18,10613361.000867847,18
best1bin,Rosenbrock,500,GenSA,1,404522919.0,11
best1bin,Rosenbrock,500,PSO,2,275462037.0,11
best1bin,Rosenbrock,500,SA,3,269683542.0,11
best1bin,Rosenbrock,500,SMCO,4,243714058.24041504,11
best1bin,Rosenbrock,500,SMCO_EVO,5,243705721.84840137,11
best1bin,Rosenbrock,500,SMCO_R_EVO,6,227239253.18552732,11
best1bin,Rosenbrock,500,SMCO_R,7,226905423.5312902,11
best1bin,Rosenbrock,500,SMCO_BR_EVO,8,203191321.91407925,11
best1bin,Rosenbrock,500,SMCO_BR,9,194451615.14885086,11
best1bin,Rosenbrock,500,GA,10,148048142.29008248,11
best1bin,Rosenbrock,500,DEoptim,11,90626987.21461594,11
best1bin,Rosenbrock,5000,GenSA,1,4049887419.0,11
best1bin,Rosenbrock,5000,SA,2,2720911801.5,11
best1bin,Rosenbrock,5000,PSO,3,2607259441.5,11
best1bin,Rosenbrock,5000,SMCO_EVO,4,2043895340.43962,11
best1bin,Rosenbrock,5000,SMCO,5,1953961917.8469486,11
best1bin,Rosenbrock,5000,SMCO_R_EVO,6,1768504356.366383,11
best1bin,Rosenbrock,5000,SMCO_R,7,1699574361.5793362,11
best1bin,Rosenbrock,5000,SMCO_BR_EVO,8,1530155403.464967,11
best1bin,Rosenbrock,5000,SMCO_BR,9,1318276891.8457017,11
best1bin,Rosenbrock,5000,GA,10,863871393.4097354,11
best1bin,Rosenbrock,5000,DEoptim,11,703836218.4663241,11
best1bin,Zakharov,100,GD,1,4.064859420438224e+17,18
best1bin,Zakharov,100,SignGD,2,4.064859420438224e+17,18
best1bin,Zakharov,100,optimLBFGS,3,4.064859420438224e+17,18
best1bin,Zakharov,100,GenSA,4,4.064859420438224e+17,18
best1bin,Zakharov,100,SA,5,4.064859420438224e+17,18
best1bin,Zakharov,100,BOBYQA,6,3.736784508241019e+17,18
best1bin,Zakharov,100,SMCO_EVO,7,3.73584180255514e+17,18
best1bin,Zakharov,100,SMCO,8,3.726719113127506e+17,18
best1bin,Zakharov,100,SMCO_R_EVO,9,3.526370052594049e+17,18
best1bin,Zakharov,100,SMCO_R,10,3.5073620183415974e+17,18
best1bin,Zakharov,100,GA,11,3.259341240180298e+17,18
best1bin,Zakharov,100,SMCO_BR_EVO,12,3.056030285630536e+17,18
best1bin,Zakharov,100,SMCO_BR,13,3.007640369869114e+17,18
best1bin,Zakharov,100,DEoptim,14,1.564472855667245e+17,18
best1bin,Zakharov,100,PSO,15,1.3786539842246278e+17,18
best1bin,Zakharov,100,ADAM,16,8.880945320640266e+16,18
