strategy,pair,func,dim,improve_pct,base_mean,evo_mean,n_reps
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,8.0183365287103,859724697.6735848,928660317.1534901,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,13.577965216572387,1091605069.4387069,1239822826.0694354,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,16.05414597190671,1318276891.8457017,1529914988.3765254,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1.4530139343417656,1302651618260598.5,1321579327789853.5,20
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,1.185229977711909,3.007640369869114e+17,3.0432878251545683e+17,15
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,1.5267149644049398,6.463198018702149e+19,6.5618726300327985e+19,10
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,1.3401226459681497,7.947977905345289e+22,8.054490557151366e+22,5
rand1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.42527185565181,21.6369962777482,22.161752258880856,20
rand1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.844973042764799,21.535213676492056,22.147884700290053,15
rand1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.2760447484319193,21.418222373910474,22.11989292319844,10
rand1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.4688580475500728,21.367733334983292,22.1089496723529,5
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.5648542158732393,21.356747941768013,22.11808487114355,5
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.2859737795873087,21.412231167680464,22.115831469475065,3
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.5727934117010407,21.532214189963604,22.086193578036344,2
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2.0311740637375495,21.664995317854874,22.105049083661097,2
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.910094387558365,21.697044955860562,22.11147899382847,2
rand1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.005292701921421372,4400.892005055723,4400.659078960011,20
rand1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.011695105954771079,8740.096300027286,8741.118463550123,15
rand1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.011739384912800544,17226.59242376168,17224.570127769693,10
