experiment,algo,func,dim,rep,fopt,time,iterations,n_starts
A,SMCO_R_EVO,DixonPrice,50,19,47802001.37234543,3.307127529056743,308,8
A,SMCO_R,DixonPrice,50,20,47900437.239467606,3.7061355030164123,158,8
A,SMCO_R_EVO,DixonPrice,50,20,47752858.305346616,3.8316023369552568,308,8
A,SMCO_R,DixonPrice,50,21,48617140.61622652,3.0908943039830774,158,8
A,SMCO_R_EVO,DixonPrice,50,21,48277499.08202143,3.8155735599575564,308,8
A,SMCO_R,DixonPrice,50,22,48952435.23019448,3.856006108922884,158,8
A,SMCO_R_EVO,DixonPrice,50,22,48784483.79055517,3.82312091300264,308,8
A,SMCO_R,DixonPrice,50,23,48602148.737697594,3.8728508659405634,158,8
A,SMCO_R_EVO,DixonPrice,50,23,48562838.81096846,3.559759541065432,308,8
A,SMCO_R,DixonPrice,50,24,47828323.25426235,3.9685990299331024,158,8
A,SMCO_R_EVO,DixonPrice,50,24,47658808.482875705,3.9163481489522383,308,8
A,SMCO_R,DixonPrice,50,25,48759606.910662554,3.8382258350029588,158,8
A,SMCO_R_EVO,DixonPrice,50,25,48636027.09252784,3.8397296890616417,308,8
A,SMCO_R,DixonPrice,50,26,48269569.179456964,3.924364155041985,158,8
A,SMCO_R_EVO,DixonPrice,50,26,48254142.88157028,3.906766982981935,308,8
A,SMCO_R,DixonPrice,50,27,48449808.19451477,3.2587919629877433,158,8
A,SMCO_R_EVO,DixonPrice,50,27,48622787.39960684,3.65055487700738,308,8
A,SMCO_R,DixonPrice,50,28,48231444.32263997,3.833222812972963,158,8
A,SMCO_R_EVO,DixonPrice,50,28,48169472.51166204,3.753995240898803,308,8
A,SMCO_R,DixonPrice,50,29,48760616.03991644,3.0101326960138977,158,8
A,SMCO_R_EVO,DixonPrice,50,29,48805085.11971267,3.564817839069292,308,8
A,SMCO_R,Zakharov,50,0,1486398195777346.0,4.356935753952712,158,8
A,SMCO_R_EVO,Zakharov,50,0,1485941429007779.0,4.278113854001276,308,8
A,SMCO_R,Zakharov,50,1,1470308161319641.0,4.362125219893642,158,8
A,SMCO_R_EVO,Zakharov,50,1,1481043590655237.8,4.3659090149449185,308,8
A,SMCO_R,Zakharov,50,2,1468801169948342.0,4.4752774549415335,158,8
A,SMCO_R_EVO,Zakharov,50,2,1469636572667208.8,4.300981214037165,308,8
A,SMCO_R,Zakharov,50,3,1492075151088124.0,4.171701985993423,158,8
A,SMCO_R_EVO,Zakharov,50,3,1486141722110136.2,3.4988419759320095,308,8
A,SMCO_R,Zakharov,50,4,1454716739435125.8,3.2470163019606844,158,8
A,SMCO_R_EVO,Zakharov,50,4,1474428736845604.2,3.509462310001254,308,8
A,SMCO_R,Zakharov,50,5,1479914286874583.8,4.290049743023701,158,8
A,SMCO_R_EVO,Zakharov,50,5,1484538902557186.0,4.4344898739364,308,8
A,SMCO_R,Zakharov,50,6,1484230332332344.8,4.831254133023322,158,8
A,SMCO_R_EVO,Zakharov,50,6,1486545569264603.2,4.307788474950939,308,8
A,SMCO_R,Zakharov,50,7,1467067718573491.8,4.2909465349512175,158,8
A,SMCO_R_EVO,Zakharov,50,7,1466073438557997.8,4.317100499058142,308,8
A,SMCO_R,Zakharov,50,8,1459803627348863.8,3.435513686039485,158,8
A,SMCO_R_EVO,Zakharov,50,8,1460137689471714.8,4.057998134987429,308,8
A,SMCO_R,Zakharov,50,9,1469422535819800.5,4.331478548003361,158,8
A,SMCO_R_EVO,Zakharov,50,9,1484555513426625.0,4.321619585971348,308,8
A,SMCO_R,Zakharov,50,10,1460253178184634.2,4.302051253966056,158,8
A,SMCO_R_EVO,Zakharov,50,10,1462600940246970.2,3.597785218968056,308,8
A,SMCO_R,Zakharov,50,11,1471328628642531.5,3.6432275749975815,158,8
A,SMCO_R_EVO,Zakharov,50,11,1470228986762957.2,4.349155131960288,308,8
A,SMCO_R,Zakharov,50,12,1458581674812764.2,4.324246386066079,158,8
A,SMCO_R_EVO,Zakharov,50,12,1459941994529314.0,4.141815381939523,308,8
A,SMCO_R,Zakharov,50,13,1474069966277595.0,4.320062511018477,158,8
A,SMCO_R_EVO,Zakharov,50,13,1472544914285785.8,2.673923569964245,308,8
