strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,3832879.82962107,343998612.5982973,354144632.83549726,346785445.51394403,5,False
best1bin,Rosenbrock,1000,SMCO_BR_EVO,372046389.76400423,6914914.776141,361774815.0701089,378846621.4356098,373596206.57713574,5,True
best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,2643318.98200673,459484847.2470911,466053984.8107496,463335195.84811175,5,True
best1bin,Rosenbrock,1000,SMCO_R,422712947.9742656,3073704.22722023,419807461.87039727,427146824.93239963,422386356.4101707,5,False
best1bin,Rosenbrock,1000,SMCO_R_EVO,431293381.85747737,14237947.63255516,419340175.4046833,455707790.34327257,426711499.92208576,5,True
best1bin,Rosenbrock,2000,DEoptim,298880966.55981404,1950522.26820004,296671244.85538065,300363166.265664,299608488.5583975,3,False
best1bin,Rosenbrock,2000,GA,378960173.9105427,6896060.8276522,373174512.0544116,386591173.5358542,377114836.1413624,3,False
best1bin,Rosenbrock,2000,GenSA,1619644419.0,0.0,1619644419.0,1619644419.0,1619644419.0,3,False
best1bin,Rosenbrock,2000,PSO,1038838524.0,7808743.05474799,1032215769.0,1047449034.0,1036850769.0,3,False
best1bin,Rosenbrock,2000,SA,1082940579.0,8933773.43087875,1075462704.0,1092833649.0,1080525384.0,3,False
best1bin,Rosenbrock,2000,SMCO,869247612.9724324,6089094.39919715,862504605.5868108,874344213.5177196,870894019.8127666,3,False
best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,2168963.02989108,615869948.7209852,620184989.6991587,618412849.4023697,3,False
best1bin,Rosenbrock,2000,SMCO_BR_EVO,685824638.2370745,8404936.42678257,676283602.3771392,692134452.2327254,689055860.101359,3,True
best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,6239990.8716141,862134230.3650203,874277203.1441984,870700434.6337664,3,True
best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,4752104.9516167,770458718.0110518,779506205.7074538,777503320.6813866,3,False
best1bin,Rosenbrock,2000,SMCO_R_EVO,794743124.1546808,25031038.02640882,777843739.5133393,823499489.3622998,782886143.5884035,3,True
best1bin,Rosenbrock,3000,DEoptim,435025937.7010499,1217440.10858186,434165077.5445832,435886797.85751665,435025937.7010499,2,False
best1bin,Rosenbrock,3000,GA,558462340.9012433,5478799.34591137,554588244.730989,562336437.0714977,558462340.9012433,2,False
best1bin,Rosenbrock,3000,GenSA,2429725419.0,0.0,2429725419.0,2429725419.0,2429725419.0,2,False
best1bin,Rosenbrock,3000,PSO,1567742184.0,1543260.54993964,1566650934.0,1568833434.0,1567742184.0,2,False
best1bin,Rosenbrock,3000,SA,1590726046.5,9291924.04147884,1584155664.0,1597296429.0,1590726046.5,2,False
best1bin,Rosenbrock,3000,SMCO,1239722873.845387,1018451.97238844,1239002719.5493982,1240443028.1413755,1239722873.845387,2,False
best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,1105521.41345009,858942975.9853873,860506419.3617823,859724697.6735848,2,False
best1bin,Rosenbrock,3000,SMCO_BR_EVO,955288955.6197196,9808415.026366,948353358.8418844,962224552.3975552,955288955.6197197,2,True
best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,1392657.82472092,1238400399.4414124,1240369915.0248778,1239385157.2331452,2,True
best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,23405.68370745,1094286565.6228151,1094319666.2581508,1094303115.940483,2,False
best1bin,Rosenbrock,3000,SMCO_R_EVO,1135294516.5534573,19401361.0746551,1121575682.57332,1149013350.5335946,1135294516.5534573,2,True
best1bin,Rosenbrock,4000,DEoptim,570759716.329524,5675936.20214147,566746223.3514076,574773209.3076406,570759716.329524,2,False
best1bin,Rosenbrock,4000,GA,681387818.6390367,13240574.11462637,672025318.8957813,690750318.382292,681387818.6390367,2,False
best1bin,Rosenbrock,4000,GenSA,3239806419.0,0.0,3239806419.0,3239806419.0,3239806419.0,2,False
best1bin,Rosenbrock,4000,PSO,2080429884.0,10310444.18463385,2073139299.0,2087720469.0,2080429884.0,2,False
best1bin,Rosenbrock,4000,SA,2174326321.5,43627848.46757301,2143476774.0,2205175869.0,2174326321.5,2,False
best1bin,Rosenbrock,4000,SMCO,1601610810.9908462,5187853.93675735,1597942444.2923596,1605279177.6893325,1601610810.9908462,2,False
best1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,3466802.29551939,1089153670.026512,1094056468.8509016,1091605069.4387069,2,False
best1bin,Rosenbrock,4000,SMCO_BR_EVO,1273971153.476194,6672016.25618616,1269253325.5372577,1278688981.41513,1273971153.476194,2,True
best1bin,Rosenbrock,4000,SMCO_EVO,1607755773.5210905,3835610.80894778,1605043587.108091,1610467959.93409,1607755773.5210905,2,True
best1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,911116.52937325,1398740773.3455424,1400029286.6982844,1399385030.0219135,2,False
best1bin,Rosenbrock,4000,SMCO_R_EVO,1449626148.1335459,8486848.57669811,1443625039.9540591,1455627256.3130324,1449626148.1335459,2,True
best1bin,Rosenbrock,5000,DEoptim,703836218.4663241,2028375.75898374,702401940.2123523,705270496.7202959,703836218.4663241,2,False
best1bin,Rosenbrock,5000,GA,863871393.4097356,12846378.8507324,854787631.8106911,872955155.0087798,863871393.4097354,2,False
best1bin,Rosenbrock,5000,GenSA,4049887419.0,0.0,4049887419.0,4049887419.0,4049887419.0,2,False
best1bin,Rosenbrock,5000,PSO,2607259441.5,28607564.0033543,2587030839.0,2627488044.0,2607259441.5,2,False
best1bin,Rosenbrock,5000,SA,2720911801.5,9737210.39479545,2714026554.0,2727797049.0,2720911801.5,2,False
best1bin,Rosenbrock,5000,SMCO,1953961917.8469484,3915142.6489223,1951193493.930583,1956730341.7633142,1953961917.8469486,2,False
best1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,3002866.7691948,1316153544.3902044,1320400239.3011992,1318276891.8457017,2,False
best1bin,Rosenbrock,5000,SMCO_BR_EVO,1530155403.464967,11606936.46079108,1521948059.9847403,1538362746.9451938,1530155403.464967,2,True
best1bin,Rosenbrock,5000,SMCO_EVO,2043895340.4396203,63651980.00870523,1998886593.739514,2088904087.1397262,2043895340.43962,2,True
best1bin,Rosenbrock,5000,SMCO_R,1699574361.5793364,3749109.16629494,1696923341.0644403,1702225382.0942318,1699574361.5793362,2,False
best1bin,Rosenbrock,5000,SMCO_R_EVO,1768504356.366383,6898095.54431212,1763626666.2297273,1773382046.503039,1768504356.366383,2,True
