strategy,pair,func,dim,n,base_mean,evo_mean,improve_pct,win_rate,wilcoxon_p,significant
sobol,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,86021.13959544411,86027.19083698816,0.007,50.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,114310.4567734591,114305.59268591848,-0.0043,0.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,142458.32504618834,142433.69305262546,-0.0173,0.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,463389064.8849098,463390623.2464468,0.0003,60.0,0.8125,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,869247612.9724323,869118998.1604986,-0.0148,33.3,0.75,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,1239722873.845387,1239270944.6241322,-0.0365,0.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,1601610810.9908462,1601691257.611319,0.005,50.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,1953961917.8469486,1954076967.4365642,0.0059,50.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,21.949291370787886,21.961762933088586,0.0568,60.0,0.3125,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,21.90054567102072,21.94555813762914,0.2055,100.0,0.25,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,21.563667434577347,21.93947284370111,1.7428,100.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,21.696596470859426,21.920824851229398,1.0335,100.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,21.72570270016472,21.917239177362987,0.8816,100.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,29138.03230207167,29137.99021096876,-0.0001,40.0,0.8125,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,57929.575992560334,57943.79006554603,0.0245,66.7,0.75,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,86068.11548491748,86092.23625254838,0.028,100.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,114374.76422763668,114382.16282779281,0.0065,50.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,142512.25069086358,142537.52309274464,0.0177,100.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,422712947.9742656,422669231.59769547,-0.0103,60.0,1.0,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,775822748.1332974,776076535.7725593,0.0327,66.7,0.5,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,1094303115.940483,1094196173.155689,-0.0098,50.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,1399385030.0219135,1399514464.6951823,0.0092,50.0,nan,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,1699574361.5793362,1699732400.7509954,0.0093,50.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,21.941297712620617,21.940277777418867,-0.0046,60.0,1.0,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,21.92156924412311,21.922234039284636,0.003,66.7,0.5,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,21.90992625267647,21.91459007869124,0.0213,50.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,21.90941466516003,21.928384262571953,0.0866,100.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,21.912597619812423,21.936770067208492,0.1103,100.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,29126.31025437183,29126.721814035478,0.0014,40.0,1.0,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57912.088181982086,0.0005,33.3,1.0,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86022.92131761616,-0.0052,0.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114318.86136905075,0.0042,50.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142460.96411804718,0.0006,50.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,348019751.24023837,-0.0498,40.0,0.8125,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,618377998.3766528,0.0359,66.7,0.75,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,860040440.1750121,0.0367,100.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1091360785.0485091,-0.0224,50.0,nan,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1318443378.4286544,0.0126,50.0,nan,0
