evo_algo,func,dim,strategy_1,strategy_2,s1_mean,s2_mean,winner
SMCO_BR_EVO,Rosenbrock,4000,best1bin,rand1bin,1273971153.476194,1284332464.567898,rand1bin
SMCO_BR_EVO,Rosenbrock,5000,best1bin,rand1bin,1530155403.464967,1571387343.601668,rand1bin
SMCO_BR_EVO,Rastrigin,1000,best1bin,sobol,29125.553585,29126.721814,sobol
SMCO_BR_EVO,Rastrigin,2000,best1bin,sobol,57911.570647,57912.088182,sobol
SMCO_BR_EVO,Rastrigin,3000,best1bin,sobol,86031.645888,86022.921318,best1bin
SMCO_BR_EVO,Rastrigin,4000,best1bin,sobol,114319.866047,114318.861369,best1bin
SMCO_BR_EVO,Rastrigin,5000,best1bin,sobol,142458.489544,142460.964118,sobol
SMCO_BR_EVO,Ackley,1000,best1bin,sobol,22.178927,21.940278,best1bin
SMCO_BR_EVO,Ackley,2000,best1bin,sobol,22.174917,21.922234,best1bin
SMCO_BR_EVO,Ackley,3000,best1bin,sobol,22.169782,21.91459,best1bin
SMCO_BR_EVO,Ackley,4000,best1bin,sobol,22.165074,21.928384,best1bin
SMCO_BR_EVO,Ackley,5000,best1bin,sobol,22.170896,21.93677,best1bin
SMCO_BR_EVO,Rosenbrock,1000,best1bin,sobol,372046389.764004,348019751.240238,best1bin
SMCO_BR_EVO,Rosenbrock,2000,best1bin,sobol,685824638.237074,618377998.376653,best1bin
SMCO_BR_EVO,Rosenbrock,3000,best1bin,sobol,955288955.61972,860040440.175012,best1bin
SMCO_BR_EVO,Rosenbrock,4000,best1bin,sobol,1273971153.476194,1091360785.048509,best1bin
SMCO_BR_EVO,Rosenbrock,5000,best1bin,sobol,1530155403.464967,1318443378.428654,best1bin
SMCO_BR_EVO,Rastrigin,1000,current-to-best1bin,rand1bin,29125.553585,29126.299182,rand1bin
SMCO_BR_EVO,Rastrigin,2000,current-to-best1bin,rand1bin,57911.570647,57914.659633,rand1bin
SMCO_BR_EVO,Rastrigin,3000,current-to-best1bin,rand1bin,86031.645888,86030.445844,current-to-best1bin
SMCO_BR_EVO,Rastrigin,4000,current-to-best1bin,rand1bin,114319.866047,114315.021178,current-to-best1bin
SMCO_BR_EVO,Rastrigin,5000,current-to-best1bin,rand1bin,142458.489544,142458.565694,rand1bin
SMCO_BR_EVO,Ackley,1000,current-to-best1bin,rand1bin,22.159987,22.192979,rand1bin
SMCO_BR_EVO,Ackley,2000,current-to-best1bin,rand1bin,22.153864,22.188212,rand1bin
SMCO_BR_EVO,Ackley,3000,current-to-best1bin,rand1bin,22.149006,22.177831,rand1bin
SMCO_BR_EVO,Ackley,4000,current-to-best1bin,rand1bin,22.140271,22.181004,rand1bin
SMCO_BR_EVO,Ackley,5000,current-to-best1bin,rand1bin,22.152044,22.18491,rand1bin
SMCO_BR_EVO,Rosenbrock,1000,current-to-best1bin,rand1bin,361314025.782869,367745225.484353,rand1bin
SMCO_BR_EVO,Rosenbrock,2000,current-to-best1bin,rand1bin,667858608.950692,681642200.328956,rand1bin
SMCO_BR_EVO,Rosenbrock,3000,current-to-best1bin,rand1bin,928660317.15349,984001031.039165,rand1bin
SMCO_BR_EVO,Rosenbrock,4000,current-to-best1bin,rand1bin,1239822826.069435,1284332464.567898,rand1bin
SMCO_BR_EVO,Rosenbrock,5000,current-to-best1bin,rand1bin,1529914988.376526,1571387343.601668,rand1bin
SMCO_BR_EVO,Rastrigin,1000,current-to-best1bin,sobol,29125.553585,29126.721814,sobol
SMCO_BR_EVO,Rastrigin,2000,current-to-best1bin,sobol,57911.570647,57912.088182,sobol
SMCO_BR_EVO,Rastrigin,3000,current-to-best1bin,sobol,86031.645888,86022.921318,current-to-best1bin
SMCO_BR_EVO,Rastrigin,4000,current-to-best1bin,sobol,114319.866047,114318.861369,current-to-best1bin
SMCO_BR_EVO,Rastrigin,5000,current-to-best1bin,sobol,142458.489544,142460.964118,sobol
SMCO_BR_EVO,Ackley,1000,current-to-best1bin,sobol,22.159987,21.940278,current-to-best1bin
SMCO_BR_EVO,Ackley,2000,current-to-best1bin,sobol,22.153864,21.922234,current-to-best1bin
SMCO_BR_EVO,Ackley,3000,current-to-best1bin,sobol,22.149006,21.91459,current-to-best1bin
SMCO_BR_EVO,Ackley,4000,current-to-best1bin,sobol,22.140271,21.928384,current-to-best1bin
SMCO_BR_EVO,Ackley,5000,current-to-best1bin,sobol,22.152044,21.93677,current-to-best1bin
SMCO_BR_EVO,Rosenbrock,1000,current-to-best1bin,sobol,361314025.782869,348019751.240238,current-to-best1bin
SMCO_BR_EVO,Rosenbrock,2000,current-to-best1bin,sobol,667858608.950692,618377998.376653,current-to-best1bin
SMCO_BR_EVO,Rosenbrock,3000,current-to-best1bin,sobol,928660317.15349,860040440.175012,current-to-best1bin
SMCO_BR_EVO,Rosenbrock,4000,current-to-best1bin,sobol,1239822826.069435,1091360785.048509,current-to-best1bin
SMCO_BR_EVO,Rosenbrock,5000,current-to-best1bin,sobol,1529914988.376526,1318443378.428654,current-to-best1bin
SMCO_BR_EVO,Rastrigin,1000,rand1bin,sobol,29126.299182,29126.721814,sobol
SMCO_BR_EVO,Rastrigin,2000,rand1bin,sobol,57914.659633,57912.088182,rand1bin
SMCO_BR_EVO,Rastrigin,3000,rand1bin,sobol,86030.445844,86022.921318,rand1bin
SMCO_BR_EVO,Rastrigin,4000,rand1bin,sobol,114315.021178,114318.861369,sobol
SMCO_BR_EVO,Rastrigin,5000,rand1bin,sobol,142458.565694,142460.964118,sobol
SMCO_BR_EVO,Ackley,1000,rand1bin,sobol,22.192979,21.940278,rand1bin
SMCO_BR_EVO,Ackley,2000,rand1bin,sobol,22.188212,21.922234,rand1bin
SMCO_BR_EVO,Ackley,3000,rand1bin,sobol,22.177831,21.91459,rand1bin
SMCO_BR_EVO,Ackley,4000,rand1bin,sobol,22.181004,21.928384,rand1bin
SMCO_BR_EVO,Ackley,5000,rand1bin,sobol,22.18491,21.93677,rand1bin
SMCO_BR_EVO,Rosenbrock,1000,rand1bin,sobol,367745225.484353,348019751.240238,rand1bin
SMCO_BR_EVO,Rosenbrock,2000,rand1bin,sobol,681642200.328956,618377998.376653,rand1bin
SMCO_BR_EVO,Rosenbrock,3000,rand1bin,sobol,984001031.039165,860040440.175012,rand1bin
SMCO_BR_EVO,Rosenbrock,4000,rand1bin,sobol,1284332464.567898,1091360785.048509,rand1bin
SMCO_BR_EVO,Rosenbrock,5000,rand1bin,sobol,1571387343.601668,1318443378.428654,rand1bin
