strategy,func,dim,algo,fopt_mean,smco_rank,best_in_smco
rand1bin,Rosenbrock,1000,SMCO_EVO,463431517.42857647,1,SMCO_EVO
rand1bin,Rosenbrock,1000,SMCO,463389064.88490987,2,SMCO_EVO
rand1bin,Rosenbrock,1000,SMCO_R,422712947.9742656,3,SMCO_EVO
rand1bin,Rosenbrock,1000,SMCO_R_EVO,422691334.4917344,4,SMCO_EVO
rand1bin,Rosenbrock,1000,SMCO_BR_EVO,367745225.4843526,5,SMCO_EVO
rand1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,6,SMCO_EVO
rand1bin,Rosenbrock,2000,SMCO,869247612.9724324,1,SMCO
rand1bin,Rosenbrock,2000,SMCO_EVO,869043776.6301566,2,SMCO
rand1bin,Rosenbrock,2000,SMCO_R_EVO,781450086.1351376,3,SMCO
rand1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,4,SMCO
rand1bin,Rosenbrock,2000,SMCO_BR_EVO,681642200.328956,5,SMCO
rand1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,6,SMCO
rand1bin,Rosenbrock,3000,SMCO,1239722873.845387,1,SMCO
rand1bin,Rosenbrock,3000,SMCO_EVO,1239484708.4143791,2,SMCO
rand1bin,Rosenbrock,3000,SMCO_R_EVO,1096805777.1641424,3,SMCO
rand1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,4,SMCO
rand1bin,Rosenbrock,3000,SMCO_BR_EVO,984001031.0391653,5,SMCO
rand1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,6,SMCO
rand1bin,Rosenbrock,4000,SMCO_EVO,1601772804.8045108,1,SMCO_EVO
rand1bin,Rosenbrock,4000,SMCO,1601610810.9908462,2,SMCO_EVO
rand1bin,Rosenbrock,4000,SMCO_R_EVO,1458666064.155912,3,SMCO_EVO
rand1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,4,SMCO_EVO
rand1bin,Rosenbrock,4000,SMCO_BR_EVO,1284332464.5678978,5,SMCO_EVO
rand1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,6,SMCO_EVO
