strategy,func,dim,algo,fopt_mean,rank,n_methods
current-to-best1bin,Rosenbrock,3000,SMCO_R_EVO,1110555709.568077,6,11
current-to-best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,7,11
current-to-best1bin,Rosenbrock,3000,SMCO_BR_EVO,928660317.1534901,8,11
current-to-best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,9,11
current-to-best1bin,Rosenbrock,3000,GA,558462340.9012433,10,11
current-to-best1bin,Rosenbrock,3000,DEoptim,435025937.7010499,11,11
current-to-best1bin,Rosenbrock,4000,GenSA,3239806419.0,1,11
current-to-best1bin,Rosenbrock,4000,SA,2174326321.5,2,11
current-to-best1bin,Rosenbrock,4000,PSO,2080429884.0,3,11
current-to-best1bin,Rosenbrock,4000,SMCO_EVO,1601826824.5663753,4,11
current-to-best1bin,Rosenbrock,4000,SMCO,1601610810.9908462,5,11
current-to-best1bin,Rosenbrock,4000,SMCO_R_EVO,1433132239.4677372,6,11
current-to-best1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,7,11
current-to-best1bin,Rosenbrock,4000,SMCO_BR_EVO,1239822826.0694354,8,11
current-to-best1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,9,11
current-to-best1bin,Rosenbrock,4000,GA,681387818.6390367,10,11
current-to-best1bin,Rosenbrock,4000,DEoptim,570759716.329524,11,11
current-to-best1bin,Rosenbrock,5000,GenSA,4049887419.0,1,11
current-to-best1bin,Rosenbrock,5000,SA,2720911801.5,2,11
current-to-best1bin,Rosenbrock,5000,PSO,2607259441.5,3,11
current-to-best1bin,Rosenbrock,5000,SMCO,1953961917.8469486,4,11
current-to-best1bin,Rosenbrock,5000,SMCO_EVO,1953906656.3506606,5,11
current-to-best1bin,Rosenbrock,5000,SMCO_R_EVO,1767633840.916448,6,11
current-to-best1bin,Rosenbrock,5000,SMCO_R,1699574361.5793362,7,11
current-to-best1bin,Rosenbrock,5000,SMCO_BR_EVO,1529914988.3765254,8,11
current-to-best1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,9,11
current-to-best1bin,Rosenbrock,5000,GA,863871393.4097354,10,11
current-to-best1bin,Rosenbrock,5000,DEoptim,703836218.4663241,11,11
rand1bin,Ackley,1000,SMCO_BR_EVO,22.192979486877405,1,11
rand1bin,Ackley,1000,SMCO_R_EVO,22.178027911537946,2,11
rand1bin,Ackley,1000,GenSA,22.1311893631594,3,11
rand1bin,Ackley,1000,SMCO_EVO,22.11808487114355,4,11
rand1bin,Ackley,1000,SA,21.962780464187713,5,11
rand1bin,Ackley,1000,SMCO_R,21.949291370787886,6,11
rand1bin,Ackley,1000,SMCO_BR,21.941297712620617,7,11
rand1bin,Ackley,1000,PSO,21.78589313424506,8,11
rand1bin,Ackley,1000,GA,21.469110045827815,9,11
rand1bin,Ackley,1000,DEoptim,21.402380589659607,10,11
rand1bin,Ackley,1000,SMCO,21.356747941768013,11,11
rand1bin,Ackley,2000,SMCO_BR_EVO,22.188212044925752,1,11
rand1bin,Ackley,2000,SMCO_R_EVO,22.177979438278655,2,11
rand1bin,Ackley,2000,SMCO_EVO,22.115831469475065,3,11
rand1bin,Ackley,2000,GenSA,21.940011709686967,4,11
rand1bin,Ackley,2000,SMCO_BR,21.921569244123116,5,11
rand1bin,Ackley,2000,SMCO_R,21.90054567102072,6,11
rand1bin,Ackley,2000,SA,21.892474502729865,7,11
rand1bin,Ackley,2000,PSO,21.77345900855943,8,11
rand1bin,Ackley,2000,GA,21.423978267424815,9,11
rand1bin,Ackley,2000,SMCO,21.412231167680464,10,11
rand1bin,Ackley,2000,DEoptim,21.363056928357512,11,11
rand1bin,Ackley,3000,SMCO_BR_EVO,22.177831256865552,1,11
rand1bin,Ackley,3000,SMCO_R_EVO,22.176596880481366,2,11
