experiment,strategy,func,dim,rep,fopt,time
3,rand1bin,Ackley,10,9,22.168013396440784,0.3375188750214875
3,rand1bin,Ackley,10,10,22.220048787582865,0.3390809668926522
3,rand1bin,Ackley,10,11,22.158986124233444,0.340780345024541
3,rand1bin,Ackley,10,12,22.11089396282248,0.3451206870377064
3,rand1bin,Ackley,10,13,22.153003635040886,0.34148792002815753
3,rand1bin,Ackley,10,14,22.143396051658783,0.350668496103026
3,rand1bin,Ackley,10,15,22.07358064075462,0.36703932099044323
3,rand1bin,Ackley,10,16,22.054160987311025,0.36610894999466836
3,rand1bin,Ackley,10,17,22.1485056878303,0.3738378379493952
3,rand1bin,Ackley,10,18,22.186012984618884,0.360730896005407
3,rand1bin,Ackley,10,19,22.121117439796507,0.35417697997763753
3,rand1bin,Ackley,10,20,22.189003192645938,0.35817583196330816
3,rand1bin,Ackley,10,21,22.158550813157742,0.4324633739888668
3,rand1bin,Ackley,10,22,22.09314574227002,0.4822774640051648
3,rand1bin,Ackley,10,23,22.14557554341149,0.47746608895249665
3,rand1bin,Ackley,10,24,22.175615072986684,0.4821473800111562
3,rand1bin,Ackley,10,25,22.144056049013503,0.48780600109603256
3,rand1bin,Ackley,10,26,22.161891685823072,0.3898950630100444
3,rand1bin,Ackley,10,27,22.14144963841635,0.38187146093696356
3,rand1bin,Ackley,10,28,22.088319811762442,0.38670826505403966
3,rand1bin,Ackley,10,29,22.112566487647033,0.365335222100839
3,rand1bin,Ackley,10,30,22.18831321416785,0.34865301195532084
3,rand1bin,Ackley,10,31,22.06516097283401,0.3476790600689128
3,rand1bin,Ackley,10,32,22.081425621637337,0.37224905809853226
3,rand1bin,Ackley,10,33,22.144588330241177,0.34355823404621333
3,rand1bin,Ackley,10,34,22.14091547345039,0.35275818302761763
3,rand1bin,Ackley,10,35,22.159493328223693,0.34664180397521704
3,rand1bin,Ackley,10,36,22.11538865229897,0.3437999659217894
3,rand1bin,Ackley,10,37,22.14045644554847,0.3409730540588498
3,rand1bin,Ackley,10,38,22.160271331275677,0.3457034119637683
3,rand1bin,Ackley,10,39,22.194130558827833,0.3456954499706626
3,rand1bin,Ackley,10,40,22.1426446801271,0.35698381008114666
3,rand1bin,Ackley,10,41,22.165447624394847,0.36856117902789265
3,rand1bin,Ackley,10,42,22.15776444615509,0.3609533989802003
3,rand1bin,Ackley,10,43,22.195845352041008,0.37295635300688446
3,rand1bin,Ackley,10,44,22.114999841207553,0.35089993907604367
3,rand1bin,Ackley,10,45,22.165889148997096,0.3474420760758221
3,rand1bin,Ackley,10,46,22.158786244281274,0.3535047840559855
3,rand1bin,Ackley,10,47,22.1518198966261,0.34418816200923175
3,rand1bin,Ackley,10,48,22.24260787147854,0.33993761893361807
3,rand1bin,Ackley,10,49,22.18712773937777,0.3515088460408151
3,current-to-best1bin,Ackley,10,0,22.13127517188829,0.3439823549706489
3,current-to-best1bin,Ackley,10,1,22.136671972809843,0.34162901097442955
3,current-to-best1bin,Ackley,10,2,22.089532142932836,0.34440492396242917
3,current-to-best1bin,Ackley,10,3,22.16372633893242,0.3463108050636947
3,current-to-best1bin,Ackley,10,4,22.11222719113281,0.381701351958327
3,current-to-best1bin,Ackley,10,5,22.178483506761346,0.3867748809279874
3,current-to-best1bin,Ackley,10,6,22.1335566760827,0.3580508140148595
