function,dim,variant,rep,seed,best_value,iterations,wall_time_sec,gap_to_known
DixonPrice,10,smco_evo,15,20266542,-0.6754850906221036,310,0.5739124229876325,0.6754850906221036
DixonPrice,10,smco,16,20266543,-0.6760946347799783,310,0.6435635120142251,0.6760946347799783
DixonPrice,10,smco_evo,16,20266543,-0.6738265855668333,310,0.5342642110190354,0.6738265855668333
DixonPrice,10,smco,17,20266544,-0.6765403052182875,310,0.5290028920280747,0.6765403052182875
DixonPrice,10,smco_evo,17,20266544,-0.6743392003365776,310,0.5327548459754325,0.6743392003365776
DixonPrice,10,smco,18,20266545,-0.6734219237904727,310,0.5286044009844773,0.6734219237904727
DixonPrice,10,smco_evo,18,20266545,-0.6710679546007393,310,0.5294534640270285,0.6710679546007393
DixonPrice,10,smco,19,20266546,-0.6741446308301118,310,0.526626106002368,0.6741446308301118
DixonPrice,10,smco_evo,19,20266546,-0.6712919000157271,310,0.59726899798261,0.6712919000157271
Zakharov,10,smco,0,20267527,-0.0014614925318458683,310,0.6247115980368108,0.0014614925318458683
