label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table2_Rastrigin_d200_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,1743.1738859466313,1736.933413180337,6.2404727662942605,current-to-best1bin
table2_Rastrigin_d200_max,SMCO_BR_EVO,rand1bin,best1bin,1743.1738859466313,1736.933413180337,6.2404727662942605,best1bin
table2_Rastrigin_d200_max,SMCO_BR_EVO,rand1bin,sobol,1743.1738859466313,1736.9286083262377,6.245277620393608,sobol
table2_Rastrigin_d200_min,SMCO_EVO,rand1bin,current-to-best1bin,324.2390541234037,314.37445150198,9.864602621423728,current-to-best1bin
table2_Rastrigin_d200_min,SMCO_EVO,rand1bin,best1bin,324.2390541234037,314.37445150198,9.864602621423728,best1bin
table2_Rastrigin_d200_min,SMCO_EVO,rand1bin,sobol,324.2390541234037,314.36290843163675,9.876145691766965,sobol
table2_Rastrigin_d200_min,SMCO_R_EVO,rand1bin,current-to-best1bin,322.29012583063707,316.3204742569354,5.96965157370164,current-to-best1bin
table2_Rastrigin_d200_min,SMCO_R_EVO,rand1bin,best1bin,322.29012583063707,316.3204742569354,5.96965157370164,best1bin
table2_Rastrigin_d200_min,SMCO_R_EVO,rand1bin,sobol,322.29012583063707,316.3169916164357,5.973134214201366,sobol
table2_Rastrigin_d200_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,322.39039351774875,318.6775402213557,3.712853296393064,current-to-best1bin
table2_Rastrigin_d200_min,SMCO_BR_EVO,rand1bin,best1bin,322.39039351774875,318.6775402213557,3.712853296393064,best1bin
table2_Rastrigin_d200_min,SMCO_BR_EVO,rand1bin,sobol,322.39039351774875,318.6922936099402,3.698099907808569,sobol
table3_EmpiricalWelfare_d10,SMCO_EVO,rand1bin,current-to-best1bin,442.242825544834,441.25322888431106,0.9895966605229205,current-to-best1bin
table3_EmpiricalWelfare_d10,SMCO_EVO,rand1bin,best1bin,442.242825544834,441.25322888431106,0.9895966605229205,best1bin
table3_EmpiricalWelfare_d10,SMCO_EVO,rand1bin,sobol,442.242825544834,441.25322888431106,0.9895966605229205,sobol
table3_EmpiricalWelfare_d10,SMCO_R_EVO,rand1bin,current-to-best1bin,414.750357801149,435.06053344898646,-20.310175647837468,rand1bin
