strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,SMCO_EVO,Rosenbrock,1000,0,-241.659828627623,745.199000000001,139,1021,1000D
rand1bin,SMCO_R,Rosenbrock,1000,2,-22.702104331642,563.93,182,2001027,1000D
rand1bin,SMCO_EVO,Rosenbrock,1000,1,-248.294193403679,792.078999999998,321,1001024,1000D
rand1bin,SMCO_R_EVO,Rosenbrock,1000,0,-22.3822931135506,669.498,252,1021,1000D
rand1bin,SMCO_BR,Rosenbrock,1000,2,-98.0089387334705,567.856,107,2001027,1000D
rand1bin,SMCO_R_EVO,Rosenbrock,1000,1,-22.5515879600469,707.132000000005,358,1001024,1000D
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,0,-24.1260872307593,724.389999999999,158,1021,1000D
rand1bin,DEoptim,Rosenbrock,1000,0,-72053738.5604634,0.23700000000099,300,1021,1000D
rand1bin,GA,Rosenbrock,1000,0,-4488503.69187869,1.97499999999854,300,1021,1000D
rand1bin,PSO,Rosenbrock,1000,0,-8867098.1988132,2.40600000000268,300,1021,1000D
rand1bin,SMCO_EVO,Rosenbrock,1000,2,-247.8714207278,788.847999999998,321,2001027,1000D
rand1bin,GenSA,Rastrigin,1000,1,-76.5848258875303,36803.691,3467340,1001024,1000D
rand1bin,SA,Rastrigin,1000,1,-6442.32332611285,37.8419999999969,300,1001024,1000D
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,1,-25.3735115842578,767.144,158,1001024,1000D
rand1bin,DEoptim,Rosenbrock,1000,1,-70673020.0730166,0.236999999993714,300,1001024,1000D
rand1bin,GA,Rosenbrock,1000,1,-4701838.93571605,2.20700000000215,300,1001024,1000D
rand1bin,PSO,Rosenbrock,1000,1,-14113651.3017974,2.53600000000006,300,1001024,1000D
rand1bin,SMCO,Rosenbrock,1000,3,-249.40506202185,569.376000000004,332,3001030,1000D
rand1bin,SMCO_R_EVO,Rosenbrock,1000,2,-23.399570411301,706.704999999994,252,2001027,1000D
rand1bin,SMCO_R,Rosenbrock,1000,3,-22.4510101002674,565.538999999997,182,3001030,1000D
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,2,-24.6201254352954,767.595999999998,158,2001027,1000D
rand1bin,DEoptim,Rosenbrock,1000,2,-74185513.7283256,0.240999999994528,300,2001027,1000D
rand1bin,GA,Rosenbrock,1000,2,-5039899.8474641,2.25,300,2001027,1000D
rand1bin,PSO,Rosenbrock,1000,2,-9995115.18771205,2.49799999999959,300,2001027,1000D
rand1bin,SMCO_BR,Rosenbrock,1000,3,-94.8098556073483,569.555,107,3001030,1000D
rand1bin,GenSA,Rastrigin,1000,0,-71.4714093299463,39314.471,3581782,1021,1000D
rand1bin,SMCO_EVO,Rosenbrock,1000,3,-251.132882669238,801.269,321,3001030,1000D
rand1bin,SA,Rastrigin,1000,0,-6514.95437387734,39.7609999999986,300,1021,1000D
rand1bin,SMCO,Rosenbrock,1000,4,-243.966556470048,577.127999999997,332,4001033,1000D
rand1bin,SMCO_R_EVO,Rosenbrock,1000,3,-22.4155711499036,705.177000000003,252,3001030,1000D
rand1bin,SMCO_R,Rosenbrock,1000,4,-22.0841597647506,567.928,182,4001033,1000D
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,3,-25.0281324037493,767.949000000001,158,3001030,1000D
rand1bin,DEoptim,Rosenbrock,1000,3,-73282116.2372958,0.238000000004831,300,3001030,1000D
rand1bin,GA,Rosenbrock,1000,3,-4360242.12203087,2.04000000000087,300,3001030,1000D
rand1bin,PSO,Rosenbrock,1000,3,-12088616.40046,2.56800000000658,300,3001030,1000D
rand1bin,SMCO_BR,Rosenbrock,1000,4,-168.227750464688,571.429000000004,107,4001033,1000D
rand1bin,SMCO_EVO,Rosenbrock,1000,4,-247.630233813416,804.925000000003,321,4001033,1000D
rand1bin,SMCO_R_EVO,Rosenbrock,1000,4,-21.8534844960924,705.098000000005,252,4001033,1000D
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,4,-25.1828845306371,782.635000000002,372,4001033,1000D
rand1bin,DEoptim,Rosenbrock,1000,4,-72834620.7545587,0.25800000000163,300,4001033,1000D
rand1bin,GA,Rosenbrock,1000,4,-3982945.51028194,2.14600000000064,300,4001033,1000D
rand1bin,PSO,Rosenbrock,1000,4,-10219591.9174343,2.58200000000215,300,4001033,1000D
rand1bin,GenSA,Ackley,1000,0,-0.739340533459683,58052.467,5205039,1021,1000D
rand1bin,SA,Ackley,1000,0,-19.5257782678062,61.6809999999969,300,1021,1000D
rand1bin,GenSA,Ackley,1000,1,-0.801297265577898,58966.987,5307142,1001024,1000D
rand1bin,SA,Ackley,1000,1,-19.5023320419516,59.0,300,1001024,1000D
rand1bin,GenSA,Ackley,1000,2,-0.761081229201612,59182.144,5007433,2001027,1000D
rand1bin,SA,Ackley,1000,2,-19.5132405763076,59.0899999999965,300,2001027,1000D
rand1bin,GenSA,Ackley,1000,3,-0.747225723782077,61285.849,5207539,3001030,1000D
rand1bin,SA,Ackley,1000,3,-19.4860585075781,59.9709999999977,300,3001030,1000D
rand1bin,GenSA,Ackley,1000,4,-0.77104711552892,61514.27,5205839,4001033,1000D
rand1bin,SA,Ackley,1000,4,-19.5207816963891,57.0910000000003,300,4001033,1000D
rand1bin,GenSA,Rosenbrock,1000,0,-3574.12682310472,26739.679,2879285,1021,1000D
rand1bin,SA,Rosenbrock,1000,0,-3.99910215809469e-07,560.535999999993,300,1021,1000D
rand1bin,GenSA,Rosenbrock,1000,1,-3183.53551323801,30174.051,3032698,1001024,1000D
rand1bin,SA,Rosenbrock,1000,1,-4.1993208368468e-07,521.338999999993,300,1001024,1000D
rand1bin,GenSA,Rosenbrock,1000,2,-3458.05789968817,35468.609,3609491,2001027,1000D
rand1bin,SA,Rosenbrock,1000,2,-4.05155174017487e-07,544.585999999996,300,2001027,1000D
rand1bin,GenSA,Rosenbrock,1000,3,-3494.32333654656,37033.93,3911000,3001030,1000D
rand1bin,SA,Rosenbrock,1000,3,-3.97618474893821e-07,509.479999999996,300,3001030,1000D
rand1bin,GenSA,Rosenbrock,1000,4,-3307.89429144821,35254.898,3810597,4001033,1000D
rand1bin,SA,Rosenbrock,1000,4,-3.80089485489813e-07,494.467000000004,300,4001033,1000D
rand1bin,SA,Rastrigin,3000,1,-20573.6446489697,578.584,300,1003024,SA
rand1bin,SA,Rastrigin,3000,0,-22777.4588250561,602.409,300,3021,SA
rand1bin,SA,Ackley,3000,0,-19.5187575486667,1634.253,300,3021,SA
rand1bin,SA,Ackley,3000,1,-19.5313156983896,1650.436,300,1003024,SA
rand1bin,SA,Rastrigin,5000,0,-37936.5650621417,2038.032,300,5021,SA
rand1bin,SA,Rastrigin,5000,1,-37703.7454342611,2071.352,300,1005024,SA
rand1bin,SA,Rosenbrock,3000,1,-1.27860931155597e-06,8327.925,300,1003024,SA
rand1bin,SA,Rosenbrock,3000,0,-1.21222662662895e-06,8329.431,300,3021,SA
rand1bin,SA,Ackley,5000,1,-19.542012613519,8684.279,300,1005024,SA
rand1bin,SA,Ackley,5000,0,-19.5304878784332,8721.192,300,5021,SA
rand1bin,SA,Rosenbrock,5000,1,-1.28227755500702e-05,25267.5,300,1005024,SA
rand1bin,SA,Rosenbrock,5000,0,-2.12516685265529e-06,25632.811,300,5021,SA
