strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,optimLBFGS,Ackley,200,5,-19.43485834700872,3.9563395380973816,191,637001453,213
rand1bin,DEoptim,Rastrigin,200,7,-2066.962272987107,195.7567698471248,300,101710889,213
rand1bin,SMCO_R,Ackley,200,3,-0.0739041865123124,75.05557588860393,165,400416125,213
rand1bin,BOBYQA,Ackley,200,3,-20.27962396836904,61.18606907688081,4500,400416125,213
rand1bin,SMCO_BR,Ackley,200,3,-0.0812671130215645,76.21333231776953,90,400416125,213
rand1bin,GenSA,Ackley,200,4,-2.4376916929469417e-08,32.6280502397567,300,1144863697,213
rand1bin,optimNM,Ackley,200,5,-21.094186075151008,2.3288483507931232,4500,637001453,213
rand1bin,PSO,Ackley,200,5,-20.268994171284888,0.7079140413552523,300,637001453,213
rand1bin,GA,Ackley,200,5,-11.239587920515593,1.678726952522993,300,637001453,213
rand1bin,SMCO_R_EVO,Ackley,200,3,-0.0725708778534692,73.82126229070127,315,400416125,213
rand1bin,SMCO_EVO,Ackley,200,3,-0.3896752208377561,76.80119904503226,315,400416125,213
rand1bin,SMCO_BR_EVO,Ackley,200,3,-0.0754523385279495,78.38950340077281,165,400416125,213
rand1bin,SignGD,Ackley,200,5,-19.46802043260132,22.548230608925223,2513,637001453,213
rand1bin,SMCO_EVO,Ackley,200,4,-0.3873812437833028,59.38988991826773,315,1144863697,213
rand1bin,SMCO_BR,Ackley,200,4,-0.0795890417907831,63.63701004348695,90,1144863697,213
rand1bin,ADAM,Ackley,200,3,-19.51280521992768,81.34077937528491,9000,400416125,213
rand1bin,DEoptim,Rastrigin,200,9,-2110.517885519242,183.84933091327548,300,1821966834,213
rand1bin,SPSA,Ackley,200,6,-21.115653739600123,0.2496148329228162,3125,675388744,213
rand1bin,DEoptim,Rastrigin,200,8,-2078.0672348821563,198.77705682627857,300,483844954,213
rand1bin,SMCO_R,Ackley,200,4,-0.0723560434429058,72.53981251269579,165,1144863697,213
rand1bin,SMCO_R_EVO,Ackley,200,4,-0.0744502925991494,66.28174455091357,315,1144863697,213
rand1bin,optimLBFGS,Ackley,200,6,-19.426089173003906,2.135867390781641,200,675388744,213
rand1bin,optimNM,Ackley,200,6,-21.11495963526676,1.8982602674514053,4500,675388744,213
